card_number,card_name
35,Alice - Tea Alchemist
36,Chernabog's Followers - Creatures of Evil
37,Diablo - Faithful Pet
38,Genie - Supportive Friend
39,Hydros - Ice Titan
40,Iago - Pretty Polly
41,Jafar - Lamp Thief
42,Jafar - Striking Illusionist
43,Lena Sabrewing - Rebellious Teenager
44,Magic Broom - Dancing Duster
45,Magic Broom - Swift Cleaner
46,Magic Broom - The Big Sweeper
47,Magic Carpet - Flying Rug
48,Magica De Spell - Ambitious Witch
49,Magica De Spell - The Midas Touch
50,Magica De Spell - Thieving Sorceress
51,Maleficent - Mistress of All Evil
52,Mama Odie - Voice of Wisdom
53,Pua - Potbellied Buddy
54,Rafiki - Mystical Fighter
55,Stratos - Tornado Titan
56,The Firebird - Force of Destruction
57,The Queen - Hateful Rival
58,Treasure Guardian - Protector of the Cave
59,Ursula - Sea Witch
60,Bestow a Gift
61,It Calls Me
62,Last-Ditch Effort
63,The Boss is on a Roll
64,The Lamp
65,The Sorcerer's Hat
66,Forbidden Mountain - Maleficent's Castle
67,The Queen's Castle - Mirror Chamber
68,The Sorcerer's Tower - Wondrous Workspace
1,Baloo - von Bruinwald XIII
2,Bernard - Brand-New Agent
3,Chernabog - Evildoer
4,Dalmatian Puppy - Tail Wagger
5,Joshua Sweet - The Doctor
6,Kida - Atlantean
7,Kida - Protector of Atlantis
8,Lucky - The 15th Puppy
9,Minnie Mouse - Musical Artist
10,Miss Bianca - Rescue Aid Society Agent
11,Mr. Snoops - Inept Businessman
12,Nani - Protective Sister
13,Orville - Ace Pilot
14,Patch - Intimidating Pup
15,Perdita - Devoted Mother
16,Piglet - Pooh Pirate Captain
17,Pluto - Determined Defender
18,Pluto - Friendly Pooch
19,Pongo - Determined Father
20,Queen of Hearts - Wonderland Empress
21,Rolly - Hungry Pup
22,Tinker Bell - Generous Fairy
23,Wendy Darling - Talented Sailor
24,99 Puppies
25,Boss's Orders
26,Heal What Has Been Hurt
27,Quick Patch
28,The Bare Necessities
29,Cleansing Rainwater
30,Heart of Atlantis
31,Wildcat's Wrench
32,Never Land - Mermaid Lagoon
33,Pride Lands - Pride Rock
34,Tiana's Palace - Jazz Restaurant69 Cubby - Mighty Lost Boy
70,Cursed Merfolk - Ursula's Handiwork
71,Don Karnage - Prince of Pirates
72,Flotsam - Riffraff
73,Friar Tuck - Priest of Nottingham
74,Helga Sinclair - Femme Fatale
75,Helga Sinclair - Vengeful Partner
76,Jetsam - Riffraff
77,Kit Cloudkicker - Tough Guy
78,Lyle Tiberius Rourke - Cunning Mercenary
79,Milo Thatch - Clever Cartographer
80,Milo Thatch - King of Atlantis
81,Morph - Space Goo
82,Peter Pan - Lost Boy Leader
83,Prince John - Phony King
84,Robin Hood - Daydreamer
85,Shenzi - Hyena Pack Leader
86,Sir Hiss - Aggravating Asp
87,Skippy - Energetic Rabbit
88,Starkey - Devious Pirate
89,Stitch - Covert Agent
90,Ursula - Deceiver
91,Ursula - Deceiver of All
92,Wildcat - Mechanic
93,Zazu - Steward of the Pride Lands
94,Has Set My Heaaaaaaart . . .
95,I Will Find My Way
96,Strike a Good Match
97,Airfoil
98,Robin's Bow
99,Starlight Vial
100,De Vil Manor - Cruella's Estate
101,Fang - River City
102,Kuzco's Palace - Home of the Emperor
103,Ariel - Adventurous Collector
104,Billy Bones - Keeper of the Map
105,Captain Hook - Master Swordsman
106,Della Duck - Unstoppable Mom
107,HeiHei - Accidental Explorer
108,Hydra - Deadly Serpent
109,Jim Hawkins - Space Traveler
110,Jim Hawkins - Thrill Seeker
111,Kakamora - Menacing Sailor
112,Madame Medusa - The Boss
113,Maui - Soaring Demigod
114,Maui - Whale
115,Milo Thatch - Spirited Scholar
116,Moana - Born Leader
117,Moana - Undeterred Voyager
118,Nutsy - Vulture Henchman
119,Peter Pan - Never Land Hero
120,Peter Pan - Pirate's Bane
121,Prince Eric - Expert Helmsman
122,Scroop - Backstabber
123,Simba - Scrappy Cub
124,Slightly - Lost Boy
125,Stitch - Little Rocket
126,Trigger - Not-So-Sharp Shooter
127,Webby Vanderquack - Enthusiastic Duck
128,Divebomb
129,I've Got a Dream
130,On Your Feet! Now!
131,Voyage
132,Maui's Fish Hook
133,Sumerian Talisman
134,Agrabah - Marketplace
135,Jolly Roger - Hook's Ship
136,RLS Legacy - Solar Galleon171 Chief Tui - Proud of Motunui
172,Eeyore - Overstuffed Donkey
173,Gustav the Giant - Terror of the Kingdom
174,Hades - Hotheaded Ruler
175,Helga Sinclair - Right-Hand Woman
176,John Silver - Greedy Treasure Seeker
177,Kida - Royal Warrior
178,Little John - Resourceful Outlaw
179,Little John - Robin's Pal
180,Lythos - Rock Titan
181,Mickey Mouse - Stalwart Explorer
182,Mickey Mouse - Trumpeter
183,Minnie Mouse - Funky Spelunker
184,Mr. Smee - Bumbling Mate
185,Mufasa - Champion of the Pride Lands
186,Nala - Fierce Friend
187,Pyros - Lava Titan
188,Razoul - Palace Guard
189,Robin Hood - Beloved Outlaw
190,Robin Hood - Champion of Sherwood
191,Sheriff of Nottingham - Corrupt Official
192,Simba - Fighting Prince
193,Simba - Rightful King
194,Thaddeus E. Klang - Metallic Leader
195,And Then Along Came Zeus
196,Ba-Boom!
197,Olympus Would Be That Way
198,Rise of the Titans
199,Captain Hook's Rapier
200,Gizmosuit
201,Map of Treasure Planet
202,Maui's Place of Exile - Hidden Island
203,Nottingham  - Prince John's Castle
204,The Bayou - Mysterious Swamp137 Audrey Ramirez - The Engineer
138,Captain Amelia - First in Command
139,Dewey - Showy Nephew
140,Flintheart Glomgold - Lone Cheater
141,Genie - Cramped in the Lamp
142,Gramma Tala - Keeper of Ancient Stories
143,Gramma Tala - Spirit of the Ocean
144,Gyro Gearloose - Gadget Whiz
145,Huey - Savvy Nephew
146,King Louie - Bandleader
147,Kit Cloudkicker - Navigator
148,Kit Cloudkicker - Spunky Bear Cub
149,Louie - Chill Nephew
150,Maid Marian - Delightful Dreamer
151,Mama Odie - Mystical Maven
152,Pluto - Mickey's Clever Friend
153,Rufus - Orphanage Cat
154,Scrooge McDuck - Richest Duck in the World
155,Scrooge McDuck - Uncle Moneybags
156,The Queen - Mirror Seeker
157,Tinker Bell - Very Clever Fairy
158,Wendy Darling - Authority on Peter Pan
159,Distract
160,Friend Like Me
161,How Far I'll Go
162,Repair
163,Aurelian Gyrosensor
164,Heart of Te Fiti
165,Lucky Dime
166,Scrooge's Top Hat
167,Vault Door
168,Belle's House - Maurice's Workshop
169,McDuck Manor - Scrooge's Mansion
170,Motunui - Island Paradise
