card_number,card_name
35,Arthur - Wizard's Apprentice
36,Blue Fairy - Rewarding Good Deeds
37,Chip the Teacup - Gentle Soul
38,Dr. Facilier - Savvy Opportunist
39,Elsa - Gloves Off
40,Fairy Godmother - Here to Help
41,Fairy Godmother - Mystic Armorer
42,Fairy Godmother - Pure Heart
43,HeiHei - Persistent Presence
44,Jiminy Cricket - Pinocchio's Conscience
45,Kuzco - Wanted Llama
46,Madam Mim - Fox
47,Madam Mim - Purple Dragon
48,Madam Mim - Rival of Merlin
49,Madam Mim - Snake
50,Merlin - Crab
51,Merlin - Goat
52,Merlin - Rabbit
53,Merlin - Shapeshifter
54,Merlin - Squirrel
55,Peter Pan's Shadow - Not Sewn On
56,Pinocchio - Star Attraction
57,Pinocchio - On the Run
58,Pinocchio - Talkative Puppet
59,Winnie the Pooh - Hunny Wizard
60,Yzma - Scary Beyond All Reason
61,Yzma - Without Beauty Sleep
62,Gruesome and Grim
63,I'm Stuck!
64,Legend of the Sword in the Stone
65,Binding Contract
66,Croquet Mallet
67,Perplexing Signposts
68,The Sorcerer's Spellbook
1,Bashful - Hopeless Romantic
2,Christopher Robin - Adventurer
3,Cinderella - Ballroom Sensation
4,Cobra Bubbles - Just a Social Worker
5,Doc - Leader of the Seven Dwarfs
6,Dopey - Always Playful
7,Eudora - Accomplished Seamstress
8,Gaston - Baritone Bully
9,Grand Duke - Advisor to the King
10,Grumpy - Bad-Tempered
11,Happy - Good-Natured
12,King Louie - Jungle VIP
13,Mickey Mouse - Friendly Face
14,Mufasa - Betrayed Leader
15,Mulan - Free Spirit
16,Mulan - Reflecting
17,Nana - Darling Family Pet
18,Piglet - Very Small Animal
19,Rapunzel - Gifted Artist
20,Rapunzel - Sunshine
21,Sleepy - Nodding Off
22,Sneezy - Very Allergic
23,Snow White - Lost in the Forest
24,Snow White - Unexpected Houseguest
25,Snow White - Well Wisher
26,The Queen - Commanding Presence
27,The Queen - Regal Monarch
28,Hold Still
29,Last Stand
30,Painting the Roses Red
31,World's Greatest Criminal Mind
32,Zero to Hero
33,Dragon Gem
34,Sleepy's Flute69 Arthur - Trained Swordsman
70,Beast - Relentless
71,Belle - Bookworm
72,Belle - Hidden Archer
73,Bucky - Squirrel Squeak Tutor
74,Cheshire Cat - Always Grinning
75,Cheshire Cat - From the Shadows
76,Daisy Duck - Secret Agent
77,Donald Duck - Perfect Gentleman
78,Donald Duck - Sleepwalker
79,Dr. Facilier - Fortune Teller
80,Enchantress - Unexpected Judge
81,Flynn Rider - Confident Vagabond
82,Flynn Rider - His Own Biggest Fan
83,Gaston - Scheming Suitor
84,Little John - Loyal Friend
85,Lucifer - Cunning Cat
86,Pain - Underworld Imp
87,Panic - Underworld Imp
88,Pete - Bad Guy
89,Prince John - Greediest of All
90,Queen of Hearts - Quick-Tempered
91,Ratigan - Criminal Mastermind
92,Ray - Easygoing Firefly
93,The Queen - Disguised Peddler
94,Tiana - True Princess
95,Virana - Fang Chief
96,Bibbidi Bobbidi Boo
97,Bounce
98,Hypnotize
99,Improvise
100,Pack Tactics
101,Ring the Bell
102,Ratigan's Marvelous Trap
103,Baloo - Fun-Loving Bear
104,Boun - Precocious Entrepreneur
105,Card Soldiers - Full Deck
106,Donald Duck - Not Again!
107,Felicia - Always Hungry
108,Fidget - Ratigan's Henchman
109,Honest John - Not That Honest
110,Lady Tremaine - Imperious Queen
111,Lady Tremaine - Overbearing Matriarch
112,Lumiere - Hotheaded Candelabra
113,Minnie Mouse - Stylish Surfer
114,Minnie Mouse - Wide-Eyed Diver
115,Minnie Mouse - Zipping Around
116,Mother Gothel - Withered and Wicked
117,Mulan - Soldier in Training
118,Namaari - Nemesis
119,Queen of Hearts - Impulsive Ruler
120,Queen of Hearts - Sensing Weakness
121,Ratigan - Very Large Mouse
122,Raya - Headstrong
123,Raya - Leader of Heart
124,Raya - Warrior of Kumandra
125,Scar - Vicious Cheater
126,Shere Khan - Menacing Predator
127,Tigger - One of a Kind
128,Tuk Tuk - Wrecking Ball
129,Go the Distance
130,Teeth and Ambitions
131,The Most Diabolical Scheme
132,What Did You Call Me?
133,You Can Fly!
134,Dinner Bell
135,Peter Pan's Dagger
136,Sword in the Stone171 Beast - Forbidding Recluse
172,Beast - Selfless Protector
173,Beast - Tragic Hero
174,Benja - Guardian of the Dragon Gem
175,Chief Bogo - Respected Officer
176,Cinderella - Knight in Training
177,Cinderella - Stouthearted
178,Donald Duck - Deep-Sea Diver
179,Eli La Bouff - Big Daddy
180,Goofy - Knight for a Day
181,Hercules - Divine Hero
182,Hercules - Hero in Training
183,Jafar - Dreadnought
184,Jafar - Royal Vizier
185,Kronk - Junior Chipmunk
186,Lawrence - Jealous Manservant
187,Li Shang - Archery Instructor
188,Magic Broom - Industrial Model
189,Namaari - Morning Mist
190,Pacha - Village Leader
191,Prince Naveen - Penniless Royal
192,Queen of Hearts - Capricious Monarch
193,Robin Hood - Capable Fighter
194,The Huntsman - Reluctant Enforcer
195,The Prince - Never Gives Up
196,Tiana - Celebrating Princess
197,Tiana - Diligent Waitress
198,Charge!
199,Let the Storm Rage On
200,Pick a Fight
201,Strength of a Raging Fire
202,Last Cannon
203,Mouse Armor
204,Weight Set137 Alice - Growing Girl
138,Basil - Great Mouse Detective
139,Basil - Of Baker Street
140,Basil - Perceptive Investigator
141,Caterpillar - Calm and Collected
142,Cogsworth - Grandfather Clock
143,Cogsworth - Talking Clock
144,Cruella De Vil - Fashionable Cruiser
145,Cruella De Vil - Perfectly Wretched
146,Duke Weaselton - Small-Time Crook
147,Gaston - Intellectual Powerhouse
148,Grand Pabbie - Oldest and Wisest
149,Hiram Flaversham - Toymaker
150,James - Role Model
151,Jasmine - Heir of Agrabah
152,Judy Hopps - Optimistic Officer
153,Mrs. Judson - Housekeeper
154,Nick Wilde - Wily Fox
155,Noi - Orphaned Thief
156,Owl - Logical Lecturer
157,Prince Charming - Heir to the Throne
158,Rabbit - Reluctant Host
159,Sisu - Divine Water Dragon
160,The Nokk - Water Spirit
161,Winnie the Pooh - Having a Think
162,Falling Down the Rabbit Hole
163,Four Dozen Eggs
164,Launch
165,Nothing to Hide
166,Fang Crossbow
167,Gumbo Pot
168,Maurice's Workshop
169,Pawpsicle
170,Sardine Can
