card_number,card_name,set_name
35,Alice - Tea Alchemist,into-the-inklands
36,Chernabog's Followers - Creatures of Evil,into-the-inklands
37,Diablo - Faithful Pet,into-the-inklands
38,Genie - Supportive Friend,into-the-inklands
39,Hydros - Ice Titan,into-the-inklands
40,Iago - Pretty Polly,into-the-inklands
41,Jafar - Lamp Thief,into-the-inklands
42,Jafar - Striking Illusionist,into-the-inklands
43,Lena Sabrewing - Rebellious Teenager,into-the-inklands
44,Magic Broom - Dancing Duster,into-the-inklands
45,Magic Broom - Swift Cleaner,into-the-inklands
46,Magic Broom - The Big Sweeper,into-the-inklands
47,Magic Carpet - Flying Rug,into-the-inklands
48,Magica De Spell - Ambitious Witch,into-the-inklands
49,Magica De Spell - The Midas Touch,into-the-inklands
50,Magica De Spell - Thieving Sorceress,into-the-inklands
51,Maleficent - Mistress of All Evil,into-the-inklands
52,Mama Odie - Voice of Wisdom,into-the-inklands
53,Pua - Potbellied Buddy,into-the-inklands
54,Rafiki - Mystical Fighter,into-the-inklands
55,Stratos - Tornado Titan,into-the-inklands
56,The Firebird - Force of Destruction,into-the-inklands
57,The Queen - Hateful Rival,into-the-inklands
58,Treasure Guardian - Protector of the Cave,into-the-inklands
59,Ursula - Sea Witch,into-the-inklands
60,Bestow a Gift,into-the-inklands
61,It Calls Me,into-the-inklands
62,Last-Ditch Effort,into-the-inklands
63,The Boss is on a Roll,into-the-inklands
64,The Lamp,into-the-inklands
65,The Sorcerer's Hat,into-the-inklands
66,Forbidden Mountain - Maleficent's Castle,into-the-inklands
67,The Queen's Castle - Mirror Chamber,into-the-inklands
68,The Sorcerer's Tower - Wondrous Workspace,into-the-inklands
1,Baloo - von Bruinwald XIII,into-the-inklands
2,Bernard - Brand-New Agent,into-the-inklands
3,Chernabog - Evildoer,into-the-inklands
4,Dalmatian Puppy - Tail Wagger,into-the-inklands
5,Joshua Sweet - The Doctor,into-the-inklands
6,Kida - Atlantean,into-the-inklands
7,Kida - Protector of Atlantis,into-the-inklands
8,Lucky - The 15th Puppy,into-the-inklands
9,Minnie Mouse - Musical Artist,into-the-inklands
10,Miss Bianca - Rescue Aid Society Agent,into-the-inklands
11,Mr. Snoops - Inept Businessman,into-the-inklands
12,Nani - Protective Sister,into-the-inklands
13,Orville - Ace Pilot,into-the-inklands
14,Patch - Intimidating Pup,into-the-inklands
15,Perdita - Devoted Mother,into-the-inklands
16,Piglet - Pooh Pirate Captain,into-the-inklands
17,Pluto - Determined Defender,into-the-inklands
18,Pluto - Friendly Pooch,into-the-inklands
19,Pongo - Determined Father,into-the-inklands
20,Queen of Hearts - Wonderland Empress,into-the-inklands
21,Rolly - Hungry Pup,into-the-inklands
22,Tinker Bell - Generous Fairy,into-the-inklands
23,Wendy Darling - Talented Sailor,into-the-inklands
24,99 Puppies,into-the-inklands
25,Boss's Orders,into-the-inklands
26,Heal What Has Been Hurt,into-the-inklands
27,Quick Patch,into-the-inklands
28,The Bare Necessities,into-the-inklands
29,Cleansing Rainwater,into-the-inklands
30,Heart of Atlantis,into-the-inklands
31,Wildcat's Wrench,into-the-inklands
32,Never Land - Mermaid Lagoon,into-the-inklands
33,Pride Lands - Pride Rock,into-the-inklands
34,Tiana's Palace - Jazz Restaurant69 Cubby - Mighty Lost Boy,into-the-inklands
70,Cursed Merfolk - Ursula's Handiwork,into-the-inklands
71,Don Karnage - Prince of Pirates,into-the-inklands
72,Flotsam - Riffraff,into-the-inklands
73,Friar Tuck - Priest of Nottingham,into-the-inklands
74,Helga Sinclair - Femme Fatale,into-the-inklands
75,Helga Sinclair - Vengeful Partner,into-the-inklands
76,Jetsam - Riffraff,into-the-inklands
77,Kit Cloudkicker - Tough Guy,into-the-inklands
78,Lyle Tiberius Rourke - Cunning Mercenary,into-the-inklands
79,Milo Thatch - Clever Cartographer,into-the-inklands
80,Milo Thatch - King of Atlantis,into-the-inklands
81,Morph - Space Goo,into-the-inklands
82,Peter Pan - Lost Boy Leader,into-the-inklands
83,Prince John - Phony King,into-the-inklands
84,Robin Hood - Daydreamer,into-the-inklands
85,Shenzi - Hyena Pack Leader,into-the-inklands
86,Sir Hiss - Aggravating Asp,into-the-inklands
87,Skippy - Energetic Rabbit,into-the-inklands
88,Starkey - Devious Pirate,into-the-inklands
89,Stitch - Covert Agent,into-the-inklands
90,Ursula - Deceiver,into-the-inklands
91,Ursula - Deceiver of All,into-the-inklands
92,Wildcat - Mechanic,into-the-inklands
93,Zazu - Steward of the Pride Lands,into-the-inklands
94,Has Set My Heaaaaaaart . . .,into-the-inklands
95,I Will Find My Way,into-the-inklands
96,Strike a Good Match,into-the-inklands
97,Airfoil,into-the-inklands
98,Robin's Bow,into-the-inklands
99,Starlight Vial,into-the-inklands
100,De Vil Manor - Cruella's Estate,into-the-inklands
101,Fang - River City,into-the-inklands
102,Kuzco's Palace - Home of the Emperor,into-the-inklands
103,Ariel - Adventurous Collector,into-the-inklands
104,Billy Bones - Keeper of the Map,into-the-inklands
105,Captain Hook - Master Swordsman,into-the-inklands
106,Della Duck - Unstoppable Mom,into-the-inklands
107,HeiHei - Accidental Explorer,into-the-inklands
108,Hydra - Deadly Serpent,into-the-inklands
109,Jim Hawkins - Space Traveler,into-the-inklands
110,Jim Hawkins - Thrill Seeker,into-the-inklands
111,Kakamora - Menacing Sailor,into-the-inklands
112,Madame Medusa - The Boss,into-the-inklands
113,Maui - Soaring Demigod,into-the-inklands
114,Maui - Whale,into-the-inklands
115,Milo Thatch - Spirited Scholar,into-the-inklands
116,Moana - Born Leader,into-the-inklands
117,Moana - Undeterred Voyager,into-the-inklands
118,Nutsy - Vulture Henchman,into-the-inklands
119,Peter Pan - Never Land Hero,into-the-inklands
120,Peter Pan - Pirate's Bane,into-the-inklands
121,Prince Eric - Expert Helmsman,into-the-inklands
122,Scroop - Backstabber,into-the-inklands
123,Simba - Scrappy Cub,into-the-inklands
124,Slightly - Lost Boy,into-the-inklands
125,Stitch - Little Rocket,into-the-inklands
126,Trigger - Not-So-Sharp Shooter,into-the-inklands
127,Webby Vanderquack - Enthusiastic Duck,into-the-inklands
128,Divebomb,into-the-inklands
129,I've Got a Dream,into-the-inklands
130,On Your Feet! Now!,into-the-inklands
131,Voyage,into-the-inklands
132,Maui's Fish Hook,into-the-inklands
133,Sumerian Talisman,into-the-inklands
134,Agrabah - Marketplace,into-the-inklands
135,Jolly Roger - Hook's Ship,into-the-inklands
136,RLS Legacy - Solar Galleon171 Chief Tui - Proud of Motunui,into-the-inklands
172,Eeyore - Overstuffed Donkey,into-the-inklands
173,Gustav the Giant - Terror of the Kingdom,into-the-inklands
174,Hades - Hotheaded Ruler,into-the-inklands
