card_number,card_name,set_name
35,Arthur - Wizard's Apprentice,rise-of-the-floodborn
36,Blue Fairy - Rewarding Good Deeds,rise-of-the-floodborn
37,Chip the Teacup - Gentle Soul,rise-of-the-floodborn
38,Dr. Facilier - Savvy Opportunist,rise-of-the-floodborn
39,Elsa - Gloves Off,rise-of-the-floodborn
40,Fairy Godmother - Here to Help,rise-of-the-floodborn
41,Fairy Godmother - Mystic Armorer,rise-of-the-floodborn
42,Fairy Godmother - Pure Heart,rise-of-the-floodborn
43,HeiHei - Persistent Presence,rise-of-the-floodborn
44,Jiminy Cricket - Pinocchio's Conscience,rise-of-the-floodborn
45,Kuzco - Wanted Llama,rise-of-the-floodborn
46,Madam Mim - Fox,rise-of-the-floodborn
47,Madam Mim - Purple Dragon,rise-of-the-floodborn
48,Madam Mim - Rival of Merlin,rise-of-the-floodborn
49,Madam Mim - Snake,rise-of-the-floodborn
50,Merlin - Crab,rise-of-the-floodborn
51,Merlin - Goat,rise-of-the-floodborn
52,Merlin - Rabbit,rise-of-the-floodborn
53,Merlin - Shapeshifter,rise-of-the-floodborn
54,Merlin - Squirrel,rise-of-the-floodborn
55,Peter Pan's Shadow - Not Sewn On,rise-of-the-floodborn
56,Pinocchio - Star Attraction,rise-of-the-floodborn
57,Pinocchio - On the Run,rise-of-the-floodborn
58,Pinocchio - Talkative Puppet,rise-of-the-floodborn
59,Winnie the Pooh - Hunny Wizard,rise-of-the-floodborn
60,Yzma - Scary Beyond All Reason,rise-of-the-floodborn
61,Yzma - Without Beauty Sleep,rise-of-the-floodborn
62,Gruesome and Grim,rise-of-the-floodborn
63,I'm Stuck!,rise-of-the-floodborn
64,Legend of the Sword in the Stone,rise-of-the-floodborn
65,Binding Contract,rise-of-the-floodborn
66,Croquet Mallet,rise-of-the-floodborn
67,Perplexing Signposts,rise-of-the-floodborn
68,The Sorcerer's SpellbookAMETHYST,rise-of-the-floodborn
1,Bashful - Hopeless Romantic,rise-of-the-floodborn
2,Christopher Robin - Adventurer,rise-of-the-floodborn
3,Cinderella - Ballroom Sensation,rise-of-the-floodborn
4,Cobra Bubbles - Just a Social Worker,rise-of-the-floodborn
5,Doc - Leader of the Seven Dwarfs,rise-of-the-floodborn
6,Dopey - Always Playful,rise-of-the-floodborn
7,Eudora - Accomplished Seamstress,rise-of-the-floodborn
8,Gaston - Baritone Bully,rise-of-the-floodborn
9,Grand Duke - Advisor to the King,rise-of-the-floodborn
10,Grumpy - Bad-Tempered,rise-of-the-floodborn
11,Happy - Good-Natured,rise-of-the-floodborn
12,King Louie - Jungle VIP,rise-of-the-floodborn
13,Mickey Mouse - Friendly Face,rise-of-the-floodborn
14,Mufasa - Betrayed Leader,rise-of-the-floodborn
15,Mulan - Free Spirit,rise-of-the-floodborn
16,Mulan - Reflecting,rise-of-the-floodborn
17,Nana - Darling Family Pet,rise-of-the-floodborn
18,Piglet - Very Small Animal,rise-of-the-floodborn
19,Rapunzel - Gifted Artist,rise-of-the-floodborn
20,Rapunzel - Sunshine,rise-of-the-floodborn
21,Sleepy - Nodding Off,rise-of-the-floodborn
22,Sneezy - Very Allergic,rise-of-the-floodborn
23,Snow White - Lost in the Forest,rise-of-the-floodborn
24,Snow White - Unexpected Houseguest,rise-of-the-floodborn
25,Snow White - Well Wisher,rise-of-the-floodborn
26,The Queen - Commanding Presence,rise-of-the-floodborn
27,The Queen - Regal Monarch,rise-of-the-floodborn
28,Hold Still,rise-of-the-floodborn
29,Last Stand,rise-of-the-floodborn
30,Painting the Roses Red,rise-of-the-floodborn
31,World's Greatest Criminal Mind,rise-of-the-floodborn
32,Zero to Hero,rise-of-the-floodborn
33,Dragon Gem,rise-of-the-floodborn
34,Sleepy's Flute69 Arthur - Trained Swordsman,rise-of-the-floodborn
70,Beast - Relentless,rise-of-the-floodborn
71,Belle - Bookworm,rise-of-the-floodborn
72,Belle - Hidden Archer,rise-of-the-floodborn
73,Bucky - Squirrel Squeak Tutor,rise-of-the-floodborn
74,Cheshire Cat - Always Grinning,rise-of-the-floodborn
75,Cheshire Cat - From the Shadows,rise-of-the-floodborn
76,Daisy Duck - Secret Agent,rise-of-the-floodborn
77,Donald Duck - Perfect Gentleman,rise-of-the-floodborn
78,Donald Duck - Sleepwalker,rise-of-the-floodborn
79,Dr. Facilier - Fortune Teller,rise-of-the-floodborn
80,Enchantress - Unexpected Judge,rise-of-the-floodborn
81,Flynn Rider - Confident Vagabond,rise-of-the-floodborn
82,Flynn Rider - His Own Biggest Fan,rise-of-the-floodborn
83,Gaston - Scheming Suitor,rise-of-the-floodborn
84,Little John - Loyal Friend,rise-of-the-floodborn
85,Lucifer - Cunning Cat,rise-of-the-floodborn
86,Pain - Underworld Imp,rise-of-the-floodborn
87,Panic - Underworld Imp,rise-of-the-floodborn
88,Pete - Bad Guy,rise-of-the-floodborn
89,Prince John - Greediest of All,rise-of-the-floodborn
90,Queen of Hearts - Quick-Tempered,rise-of-the-floodborn
91,Ratigan - Criminal Mastermind,rise-of-the-floodborn
92,Ray - Easygoing Firefly,rise-of-the-floodborn
93,The Queen - Disguised Peddler,rise-of-the-floodborn
94,Tiana - True Princess,rise-of-the-floodborn
95,Virana - Fang Chief,rise-of-the-floodborn
96,Bibbidi Bobbidi Boo,rise-of-the-floodborn
97,Bounce,rise-of-the-floodborn
98,Hypnotize,rise-of-the-floodborn
99,Improvise,rise-of-the-floodborn
100,Pack Tactics,rise-of-the-floodborn
101,Ring the Bell,rise-of-the-floodborn
102,Ratigan's Marvelous Trap,rise-of-the-floodborn
103,Baloo - Fun-Loving Bear,rise-of-the-floodborn
104,Boun - Precocious Entrepreneur,rise-of-the-floodborn
105,Card Soldiers - Full Deck,rise-of-the-floodborn
106,Donald Duck - Not Again!,rise-of-the-floodborn
107,Felicia - Always Hungry,rise-of-the-floodborn
108,Fidget - Ratigan's Henchman,rise-of-the-floodborn
109,Honest John - Not That Honest,rise-of-the-floodborn
110,Lady Tremaine - Imperious Queen,rise-of-the-floodborn
111,Lady Tremaine - Overbearing Matriarch,rise-of-the-floodborn
112,Lumiere - Hotheaded Candelabra,rise-of-the-floodborn
113,Minnie Mouse - Stylish Surfer,rise-of-the-floodborn
114,Minnie Mouse - Wide-Eyed Diver,rise-of-the-floodborn
115,Minnie Mouse - Zipping Around,rise-of-the-floodborn
116,Mother Gothel - Withered and Wicked,rise-of-the-floodborn
117,Mulan - Soldier in Training,rise-of-the-floodborn
118,Namaari - Nemesis,rise-of-the-floodborn
119,Queen of Hearts - Impulsive Ruler,rise-of-the-floodborn
120,Queen of Hearts - Sensing Weakness,rise-of-the-floodborn
121,Ratigan - Very Large Mouse,rise-of-the-floodborn
122,Raya - Headstrong,rise-of-the-floodborn
123,Raya - Leader of Heart,rise-of-the-floodborn
124,Raya - Warrior of Kumandra,rise-of-the-floodborn
125,Scar - Vicious Cheater,rise-of-the-floodborn
126,Shere Khan - Menacing Predator,rise-of-the-floodborn
127,Tigger - One of a Kind,rise-of-the-floodborn
128,Tuk Tuk - Wrecking Ball,rise-of-the-floodborn
129,Go the Distance,rise-of-the-floodborn
130,Teeth and Ambitions,rise-of-the-floodborn
131,The Most Diabolical Scheme,rise-of-the-floodborn
132,What Did You Call Me?,rise-of-the-floodborn
133,You Can Fly!,rise-of-the-floodborn
134,Dinner Bell,rise-of-the-floodborn
135,Peter Pan's Dagger,rise-of-the-floodborn
136,Sword in the Stone171 Beast - Forbidding Recluse,rise-of-the-floodborn
172,Beast - Selfless Protector,rise-of-the-floodborn
173,Beast - Tragic Hero,rise-of-the-floodborn
174,Benja - Guardian of the Dragon Gem,rise-of-the-floodborn
175,Chief Bogo - Respected Officer,rise-of-the-floodborn
176,Cinderella - Knight in Training,rise-of-the-floodborn
177,Cinderella - Stouthearted,rise-of-the-floodborn
178,Donald Duck - Deep-Sea Diver,rise-of-the-floodborn
179,Eli La Bouff - Big Daddy,rise-of-the-floodborn
180,Goofy - Knight for a Day,rise-of-the-floodborn
181,Hercules - Divine Hero,rise-of-the-floodborn
182,Hercules - Hero in Training,rise-of-the-floodborn
183,Jafar - Dreadnought,rise-of-the-floodborn
184,Jafar - Royal Vizier,rise-of-the-floodborn
185,Kronk - Junior Chipmunk,rise-of-the-floodborn
186,Lawrence - Jealous Manservant,rise-of-the-floodborn
187,Li Shang - Archery Instructor,rise-of-the-floodborn
188,Magic Broom - Industrial Model,rise-of-the-floodborn
189,Namaari - Morning Mist,rise-of-the-floodborn
190,Pacha - Village Leader,rise-of-the-floodborn
191,Prince Naveen - Penniless Royal,rise-of-the-floodborn
