card_number,card_name,set_name
35,Maleficent - Formidable Queen,shimmering-skies
36,The Nokk - Mythical Spirit,shimmering-skies
37,Cogsworth - Illuminary Watchman,shimmering-skies
38,Merlin - Turtle ,shimmering-skies
39,Archimedes - Exasperated Owl,shimmering-skies
40,Bruni - Fire Salamander,shimmering-skies
41,Earth Giant - Living Mountain,shimmering-skies
42,Gale - Wind Spirit,shimmering-skies
43,White Rabbit - Royal Herald,shimmering-skies
44,Madam Mim - Elephant ,shimmering-skies
45,Luisa Madrigal - Entertaining Muscle,shimmering-skies
46,Anna - Mystical Majesty ,shimmering-skies
47,Archimedes - Electrified Owl,shimmering-skies
48,Elsa - The Fifth Spirit,shimmering-skies
49,Genie - Main Attraction ,shimmering-skies
50,Olaf - Happy Passenger ,shimmering-skies
51,Maleficent - Vexed Partygoer,shimmering-skies
52,Monstro - Whale of a Whale,shimmering-skies
53,Magica De Spell - Cruel Sorceress,shimmering-skies
54,Maleficent - Vengeful Sorceress,shimmering-skies
55,Rafiki - Shaman Duelist ,shimmering-skies
56,Anna - Eager Acolyte ,shimmering-skies
57,King of Hearts - Monarch of Wonderland,shimmering-skies
58,Camilo Madrigal - Family Copycat,shimmering-skies
59,Hypnotic Strength,shimmering-skies
60,Finders Keepers,shimmering-skies
61,We Know the Way,shimmering-skies
62,Gathering Knowledge and Wisdom,shimmering-skies
63,Magical Aid,shimmering-skies
64,Retrosphere,shimmering-skies
65,Half Hexwell Crown,shimmering-skies
66,Amethyst Chromicon,shimmering-skies
67,Elsa's Ice Palace - Place of Solitude,shimmering-skies
68,The Library - A Gift for BelleAMETHYST,shimmering-skies
1,Koda - Talkative Cub,shimmering-skies
2,Nala - Mischievous Cub,shimmering-skies
3,Prince Naveen - Ukulele Player,shimmering-skies
4,Rutt - Northern Moose,shimmering-skies
5,Kenai - Big Brother,shimmering-skies
6,Vanellope von Schweetz - Sugar Rush Champ,shimmering-skies
7,Tuke - Northern Moose,shimmering-skies
8,Lilo - Junior Cake Decorator,shimmering-skies
9,Vanellope von Schweetz - Candy Mechanic,shimmering-skies
