card_number,card_name,set_name
35,Anna - Heir to Arendelle,the-first-chapter
36,Archimedes - Highly Educated Owl,the-first-chapter
37,Dr. Facilier - Charlatan,the-first-chapter
38,Dr. Facilier - Agent Provocateur,the-first-chapter
39,Dr. Facilier - Remarkable Gentleman,the-first-chapter
40,Elsa - Queen Regent,the-first-chapter
41,Elsa - Snow Queen,the-first-chapter
42,Elsa - Spirit of Winter,the-first-chapter
43,Flotsam - Ursula’s Spy,the-first-chapter
44,Jafar - Keeper of Secrets,the-first-chapter
45,Jafar - Wicked Sorcerer,the-first-chapter
46,Jetsam - Ursula’s Spy,the-first-chapter
47,Magic Broom - Bucket Brigade,the-first-chapter
48,Maleficent - Biding Her Time,the-first-chapter
49,Maleficent - Sorceress,the-first-chapter
50,Marshmallow - Persistent Guardian,the-first-chapter
51,Mickey Mouse - Wayward Sorcerer,the-first-chapter
52,Olaf - Friendly Snowman,the-first-chapter
53,Pascal - Rapunzel’s Companion,the-first-chapter
54,Rafiki - Mysterious Sage,the-first-chapter
55,Sven - Official Ice Deliverer,the-first-chapter
56,The Queen - Wicked and Vain,the-first-chapter
57,The Wardrobe - Belle’s Confidant,the-first-chapter
58,Tinker Bell - Peter Pan’s Ally,the-first-chapter
59,Ursula - Power Hungry,the-first-chapter
60,Yzma - Alchemist,the-first-chapter
61,Zeus - God of Lightning,the-first-chapter
62,Befuddle,the-first-chapter
63,Freeze,the-first-chapter
64,Friends on the Other Side,the-first-chapter
65,Reflection,the-first-chapter
66,Magic Mirror,the-first-chapter
67,Ursula's Cauldron,the-first-chapter
68,White Rabbit's Pocket Watch,the-first-chapter
1,Ariel - On Human Legs,the-first-chapter
2,Ariel - Spectacular Singer,the-first-chapter
3,Cinderella - Gentle and Kind,the-first-chapter
4,Goofy - Musketeer,the-first-chapter
5,Hades - King of Olympus,the-first-chapter
6,Hades - Lord of the Underworld,the-first-chapter
7,HeiHei - Boat Snack,the-first-chapter
8,LeFou - Bumbler,the-first-chapter
9,Lilo - Making a Wish,the-first-chapter
10,Maximus - Palace Horse,the-first-chapter
11,Maximus - Relentless Pursuer,the-first-chapter
12,Mickey Mouse - True Friend,the-first-chapter
13,Minnie Mouse - Beloved Princess,the-first-chapter
14,Moana - Of Motunui,the-first-chapter
15,Mr. Smee - Loyal First Mate,the-first-chapter
16,Prince Phillip - Dragonslayer,the-first-chapter
17,Pumbaa - Friendly Warthog,the-first-chapter
18,Rapunzel - Gifted with Healing,the-first-chapter
19,Sebastian - Court Composer,the-first-chapter
20,Simba - Protective Cub,the-first-chapter
21,Stitch - Carefree Surfer,the-first-chapter
22,Stitch - New Dog,the-first-chapter
23,Stitch - Rock Star,the-first-chapter
24,Timon - Grub Rustler,the-first-chapter
25,Be Our Guest,the-first-chapter
26,Control Your Temper!,the-first-chapter
27,Hakuna Matata,the-first-chapter
28,Healing Glow,the-first-chapter
29,Just in Time,the-first-chapter
30,Part of Your World,the-first-chapter
31,You Have Forgotten Me,the-first-chapter
32,Dinglehopper,the-first-chapter
33,Lantern,the-first-chapter
34,Ursula's Shell Necklace69 Aladdin - Prince Ali,the-first-chapter
70,Beast - Wolfsbane,the-first-chapter
71,Cheshire Cat - Not All There,the-first-chapter
72,Cruella De Vil - Miserable as Usual,the-first-chapter
73,Duke of Weselton - Opportunistic Official,the-first-chapter
74,Flynn Rider - Charming Rogue,the-first-chapter
75,Genie - On the Job,the-first-chapter
76,Genie - Powers Unleashed,the-first-chapter
77,Genie - The Ever Impressive,the-first-chapter
78,Hans - Scheming Prince,the-first-chapter
79,Horace - No-Good Scoundrel,the-first-chapter
80,Iago - Loud-Mouthed Parrot,the-first-chapter
81,Jasper - Common Crook,the-first-chapter
82,John Silver - Alien Pirate,the-first-chapter
83,Jumba Jookiba - Renegade Scientist,the-first-chapter
84,Kuzco - Temperamental Emperor,the-first-chapter
85,Lady Tremaine - Wicked Stepmother,the-first-chapter
86,Mad Hatter - Gracious Host,the-first-chapter
87,Megara - Pulling the Strings,the-first-chapter
88,Mickey Mouse - Artful Rogue,the-first-chapter
89,Mickey Mouse - Steamboat Pilot,the-first-chapter
90,Mother Gothel - Selfish Manipulator,the-first-chapter
91,Peter Pan - Never Landing,the-first-chapter
92,Tamatoa - Drab Little Crab,the-first-chapter
93,Tinker Bell - Most Helpful,the-first-chapter
94,Do It Again!,the-first-chapter
95,Mother Knows Best,the-first-chapter
96,Stampede,the-first-chapter
97,Steal from the Rich,the-first-chapter
98,Sudden Chill,the-first-chapter
99,The Beast is Mine!,the-first-chapter
100,Vicious Betrayal,the-first-chapter
101,Dr. Facilier's Cards,the-first-chapter
102,Stolen Scimitar,the-first-chapter
103,Abu - Mischievous Monkey,the-first-chapter
104,Aladdin - Heroic Outlaw,the-first-chapter
105,Aladdin - Street Rat,the-first-chapter
106,Captain - Colonel's Lieutenant,the-first-chapter
107,Captain Hook - Ruthless Pirate,the-first-chapter
108,Donald Duck - Boisterous Fowl,the-first-chapter
109,Elsa - Ice Surfer,the-first-chapter
110,Gaston - Arrogant Hunter,the-first-chapter
111,Goofy - Daredevil,the-first-chapter
112,LeFou - Instigator,the-first-chapter
113,Maleficent - Monstrous Dragon,the-first-chapter
114,Maui - Hero to All,the-first-chapter
115,Mickey Mouse - Brave Little Tailor,the-first-chapter
116,Minnie Mouse - Always Classy,the-first-chapter
117,Moana - Chosen by the Ocean,the-first-chapter
118,Mulan - Imperial Soldier,the-first-chapter
119,Peter Pan - Fearless Fighter,the-first-chapter
120,Pongo - Ol' Rascal,the-first-chapter
