card_number,card_name,set_name
35,Antonio Madrigal - Animal Expert,ursulas-return
36,Belle - Accomplished Mystic,ursulas-return
37,Belle - Untrained Mystic,ursulas-return
38,Bruno Madrigal - Out of the Shadows,ursulas-return
39,Bruno Madrigal - Undetected Uncle,ursulas-return
40,Camilo Madrigal - Prankster,ursulas-return
41,Dolores Madrigal - Easy Listener,ursulas-return
42,Elsa - Storm Chaser,ursulas-return
43,"Flotsam - Ursula's ""Baby""",ursulas-return
44,Flotsam & Jetsam - Entangling Eels,ursulas-return
45,Isabela Madrigal - Golden Child,ursulas-return
46,"Jetsam - Ursula's ""Baby""",ursulas-return
47,Luisa Madrigal - Magically Strong One,ursulas-return
48,Magic Broom - Illuminary Keeper,ursulas-return
49,Magic Broom - Lively Sweeper,ursulas-return
50,Magical Maid - Feather Duster,ursulas-return
51,Marshmallow - Terrifying Snowman,ursulas-return
52,Mrs. Potts - Enchanted Teapot,ursulas-return
53,Pepa Madrigal - Weather Maker,ursulas-return
54,Peter Pan - Shadow Finder,ursulas-return
55,Pico - Helpful Toucan,ursulas-return
56,Tick-Tock  - Ever-Present Pursuer,ursulas-return
57,Ursula - Mad Sea Witch,ursulas-return
58,Ursula - Sea Witch Queen,ursulas-return
59,Yen Sid - Powerful Sorcerer,ursulas-return
60,Poor Unfortunate Souls,ursulas-return
61,Second Star to the Right,ursulas-return
62,Swing into Action,ursulas-return
63,Ursula’s Plan,ursulas-return
64,Mystical Rose,ursulas-return
65,Rose Lantern,ursulas-return
66,Triton's Trident,ursulas-return
67,Casa Madrigal - Casita,ursulas-return
68,Ursula’s Lair - Eye of the StormAMETHYST,ursulas-return
1,Agustin Madrigal - Clumsy Dad,ursulas-return
2,Alma Madrigal - Family Matriarch,ursulas-return
3,Ariel - Singing Mermaid,ursulas-return
4,Cinderella - Melody Weaver,ursulas-return
5,Cogsworth - Majordomo,ursulas-return
6,Daisy Duck - Lovely Lady,ursulas-return
7,Daisy Duck - Musketeer Spy,ursulas-return
8,Donald Duck - Musketeer Soldier,ursulas-return
9,Félix Madrigal - Fun-Loving Family Man,ursulas-return
10,Gaston - Despicable Dealer,ursulas-return
11,Golden Harp - Enchanter of the Land,ursulas-return
12,Goofy - Musketeer Swordsman,ursulas-return
13,Julieta Madrigal - Excellent Cook,ursulas-return
14,Max - Loyal Sheepdog,ursulas-return
15,Mickey Mouse - Leader of the Band,ursulas-return
16,Mickey Mouse - Musketeer Captain,ursulas-return
17,Minnie Mouse - Musketeer Champion,ursulas-return
18,Mirabel Madrigal - Gift of the Family,ursulas-return
19,Mirabel Madrigal - Prophecy Finder,ursulas-return
20,Pluto - Rescue Dog,ursulas-return
21,Prince Eric - Seafaring Prince,ursulas-return
22,Prince Eric - Ursula's Groom,ursulas-return
23,Stitch - Alien Dancer,ursulas-return
24,Ursula - Eric's Bride,ursulas-return
25,Ursula - Vanessa,ursulas-return
26,Bruno's Return ,ursulas-return
27,First Aid ,ursulas-return
28,Look at This Family ,ursulas-return
29,Lost in the Woods ,ursulas-return
30,Sign the Scroll  ,ursulas-return
31,Miracle Candle,ursulas-return
32,Record Player ,ursulas-return
33,Atlantica - Concert Hall,ursulas-return
34,The Underworld - River Styx69 Cri-Kee - Lucky Cricket,ursulas-return
70,Diablo - Devoted Herald,ursulas-return
71,Diablo - Maleficent's Spy,ursulas-return
72,Gunther - Interior Designer,ursulas-return
73,Gus - Champion of Cheese,ursulas-return
74,Hades - Double Dealer,ursulas-return
75,HeiHei - Bumbling Rooster,ursulas-return
76,Hera - Queen of the Gods,ursulas-return
77,Jaq - Connoisseur of Climbing,ursulas-return
78,Jasmine - Desert Warrior,ursulas-return
79,Megara - Captivating Cynic,ursulas-return
80,Megara - Liberated One,ursulas-return
81,Pain - Immortal Sidekick,ursulas-return
82,Panic - Immortal Sidekick,ursulas-return
83,Pegasus - Cloud Racer,ursulas-return
84,Pegasus - Gift for Hercules,ursulas-return
85,Pete - Born to Cheat,ursulas-return
86,Pete - Rotten Guy,ursulas-return
87,Prince Phillip - Vanquisher of Foes,ursulas-return
88,Prince Phillip - Warden of the Woods,ursulas-return
89,The Fates - Only One Eye,ursulas-return
90,The Muses - Proclaimers of Heroes,ursulas-return
91,Tor - Florist,ursulas-return
92,Zeus - Mr. Lightning Bolts,ursulas-return
93,Dodge!,ursulas-return
94,Make the Potion ,ursulas-return
95,Under the Sea ,ursulas-return
96,Ursula’s Trickery ,ursulas-return
97,We Don’t Talk About Bruno ,ursulas-return
98,Hidden Inkcaster ,ursulas-return
99,Signed Contract ,ursulas-return
100,Vision Slab ,ursulas-return
101,Hidden Cove - Tranquil Haven,ursulas-return
102,Ursula’s Garden - Full of the Unfortunate,ursulas-return
103,Beast - Wounded,ursulas-return
104,Benja - Bold Uniter,ursulas-return
105,Fa Zhou - Mulan's Father,ursulas-return
106,Flynn Rider - Frenemy,ursulas-return
107,Goofy - Super Goof,ursulas-return
108,Hercules - Clumsy Kid,ursulas-return
109,Hercules - Daring Demigod,ursulas-return
110,Khan - Beloved Steed,ursulas-return
111,Li Shang - General’s Son,ursulas-return
112,Li Shang - Valorous General,ursulas-return
113,Lumiere - Fiery Friend,ursulas-return
114,Mulan - Elite Archer,ursulas-return
115,Mulan - Enemy of Entanglement,ursulas-return
116,Mulan - Injured Soldier,ursulas-return
117,Namaari - Heir of Fang,ursulas-return
118,Nessus - River Guardian,ursulas-return
119,Noi - Acrobatic Baby,ursulas-return
120,Pegasus - Flying Steed,ursulas-return
121,Raya - Fierce Protector,ursulas-return
122,Raya - Guardian of the Dragon Gem,ursulas-return
123,Sisu - Daring Visitor,ursulas-return
124,Sisu - Emboldened Warrior,ursulas-return
125,Sisu - Empowered Sibling,ursulas-return
126,Tong - Survivor,ursulas-return
