card_number,card_name
35,Maleficent - Formidable Queen
36,The Nokk - Mythical Spirit
37,Cogsworth - Illuminary Watchman
38,Merlin - Turtle
39,Archimedes - Exasperated Owl
40,Bruni - Fire Salamander
41,Earth Giant - Living Mountain
42,Gale - Wind Spirit
43,White Rabbit - Royal Herald
44,Madam Mim - Elephant
45,Luisa Madrigal - Entertaining Muscle
46,Anna - Mystical Majesty
47,Archimedes - Electrified Owl
48,Elsa - The Fifth Spirit
49,Genie - Main Attraction
50,Olaf - Happy Passenger
51,Maleficent - Vexed Partygoer
52,Monstro - Whale of a Whale
53,Magica De Spell - Cruel Sorceress
54,Maleficent - Vengeful Sorceress
55,Rafiki - Shaman Duelist
56,Anna - Eager Acolyte
57,King of Hearts - Monarch of Wonderland
58,Camilo Madrigal - Family Copycat
59,Hypnotic Strength
60,Finders Keepers
61,We Know the Way
62,Gathering Knowledge and Wisdom
63,Magical Aid
64,Retrosphere
65,Half Hexwell Crown
66,Amethyst Chromicon
67,Elsa's Ice Palace - Place of Solitude
68,The Library - A Gift for Belle
1,Koda - Talkative Cub
2,Nala - Mischievous Cub
3,Prince Naveen - Ukulele Player
4,Rutt - Northern Moose
5,Kenai - Big Brother
6,Vanellope von Schweetz - Sugar Rush Champ
7,Tuke - Northern Moose
8,Lilo - Junior Cake Decorator
9,Vanellope von Schweetz - Candy Mechanic
10,"Fix-It Felix, Jr. - Trusty Builder"
11,Gazelle - Pop Star
12,"Fix-It Felix, Jr. - Niceland Steward"
13,Kristoff - Reindeer Keeper
14,Mirabel Madrigal - Family Gatherer
15,Minnie Mouse - Drum Major
16,Daisy Duck - Donald's Date
17,"Fix-It Felix, Jr. - Delighted Sightseer"
18,Moana - Determined Explorer
19,Vanellope von Schweetz - Sugar Rush Princess
20,Alan-a-Dale - Rockin' Rooster
21,Wreck-It Ralph - Admiral Underpants
22,Maid Marian - Lady of the Lists
23,Sven - Reindeer Steed
24,Minnie Mouse - Compassionate Friend
25,Try Everything
26,Healing Touch
27,Revive
28,Blast from Your Past
29,Invited to the Ball
30,Healing Decanter
31,Queen's Sensor Core
32,Amber Chromicon
33,Rapunzel's Tower - Secluded Prison
34,Pride Lands - Jungle Oasis69 Robin Hood - Timely Contestant
70,Shenzi - Scar's Accomplice
71,Little John - Camp Cook
72,Zazu - Advisor to Mufasa
73,Ulf - Mime
74,Ed - Laughing Hyena
75,Flora - Good Fairy
76,Merryweather - Good Fairy
77,Robin Hood - Archery Contestant
78,Fauna - Good Fairy
79,Iago - Fake Flamingo
80,Banzai - Gluttonous Predator
81,Ed - Hysterical Partygoer
82,Scroop - Odious Mutineer
83,Prince Phillip - Swordsman of the Realm
84,Clarabelle - Light on Her Hooves
85,Anna - Diplomatic Queen
86,Clarabelle - Clumsy Guest
87,Banzai - Taunting Hyena
88,Robin Hood - Sneaky Sleuth
89,Mother Gothel - Conceited Manipulator
90,Clarabelle - Contented Wallflower
91,Shenzi - Head Hyena
92,Mother Gothel - Unwavering Schemer
93,Scar - Vengeful Lion
94,Hypnotic Deduction
95,Night Howler Rage
96,You're Welcome
97,Remember Who You Are
98,Prince John's Mirror
99,Obscurosphere
100,Emerald Chromicon
101,Sherwood Forest - Outlaw Hideaway
102,Tropical Rainforest - Jaguar Lair
103,Taffyta Muttonfudge - Ruthless Rival
104,Wreck-It Ralph - Demolition Dude
105,Maximus - Team Champion
106,Turbo - Royal Hack
107,Donald Duck - Pie Slinger
108,Rancis Fluggerbutter - Chocolate Charger
109,Scar - Betrayer
110,Snowanna Rainbeau - Cool Competitor
111,Daisy Duck - Spotless Food-Fighter
112,Mickey Mouse - Enthusiastic Dancer
113,Ratigan - Raging Rat
114,Taffyta Muttonfudge - Crowd Favorite
115,Denahi - Avenging Brother
116,Pete - Steamboat Rival
117,Taffyta Muttonfudge - Sour Speedster
118,Robin Hood - Sharpshooter
119,Gaston - Pure Paragon
120,Pete - Pastry Chomper
121,Arthur - Novice Sparrow
122,Donald Duck - Daisy's Date
123,Ratigan - Party Crasher
124,Vanellope von Schweetz - Random Roster Racer
125,Simba - Adventurous Successor
126,Minnie Mouse - Dazzling Dancer
127,Break Free
128,Evil Comes Prepared
129,Don't Let the Frostbite Bite
130,Glimmer vs Glimmer
131,Who's With Me?
132,Potion of Might
133,The Sword Released
134,Ruby Chromicon
135,Sugar Rush Speedway - Starting Line
136,Ratigan's Party - Seedy Back Room171 Stitch - Team Underdog
172,Jafar - Tyrannical Hypnotist
173,Simba - Lost Prince
174,Rudy - Groove Disrupter
175,Royal Guard - Bovine Protector
176,Mickey Mouse - Food Fight Defender
177,Sleepy - Sluggish Knight
178,Kronk - Unlicensed Investigator
179,HeiHei - Protective Rooster
180,Sneezy - Noisy Knight
181,Dopey - Knight Apprentice
182,Namaari - Resolute Daughter
183,Snow White - Fair-Hearted
184,Yzma - Unjustly Treated
185,Kronk - Head of Security
186,Grumpy - Skeptical Knight
187,Pete - Wrestling Champ
188,Sir Ector - Castle Lord
189,Bashful - Adoring Knight
190,Arthur - Wart
191,Happy - Lively Knight
192,Simba - Son of Mufasa
193,Doc - Bold Knight
194,Arthur - King Victorious
195,Pete - Games Referee
196,Tug-of-War
197,When Will My Life Begin?
198,Duck for Cover!
199,Food Fight!
200,Shield of Arendelle
201,Plate Armor
202,Steel Chromicon
203,Bad-Anon
204,Seven Dwarfs' Mine137 King Candy - Sovereign of Sugar
138,Chaca - Impressive Daughter
139,The Queen - Cruelest of All
140,Scrooge McDuck - Afficionado of Antiquities
141,Prince John - Opportunistic Briber
142,Merlin - Back from Bermuda
143,Pacha - Emperor's Guide
144,The Queen - Fairest of All
145,Sheriff of Nottingham - Bushel Britches
146,Chicha - Dedicated Mother
147,Prince John - Gold Lover
148,The Queen - Crown of the Council
149,Kuzco - Selfish Emperor
150,Mufasa - Ruler of Pride Rock
151,Ludwig von Drake - Self-Proclaimed Genius
152,Minnie Mouse - Quick-Thinking Inventor
153,Basil - Practiced Detective
154,King Candy - Sweet Abomination
155,Donald Duck - Focused Flatfoot
156,Tanana - Wise Woman
157,Tipo - Growing Son
158,Belle - Of the Ball
159,Merlin - Intellectual Visionary
160,Vision of the Future
161,Royal Tantrum
162,Ever as Before
163,Hide Away
164,All Funned Out
165,Medal of Heroes
166,Basil's Magnifying Glass
167,Merlin's Carpetbag
168,Sapphire Chromicon
169,The Great Illuminary - Radiant Ballroom
170,Merlin's Cottage - The Wizard's Home
