card_number,card_name
35,Anna - Heir to Arendelle
36,Archimedes - Highly Educated Owl
37,Dr. Facilier - Charlatan
38,Dr. Facilier - Agent Provocateur
39,Dr. Facilier - Remarkable Gentleman
40,Elsa - Queen Regent
41,Elsa - Snow Queen
42,Elsa - Spirit of Winter
43,Flotsam - Ursula’s Spy
44,Jafar - Keeper of Secrets
45,Jafar - Wicked Sorcerer
46,Jetsam - Ursula’s Spy
47,Magic Broom - Bucket Brigade
48,Maleficent - Biding Her Time
49,Maleficent - Sorceress
50,Marshmallow - Persistent Guardian
51,Mickey Mouse - Wayward Sorcerer
52,Olaf - Friendly Snowman
53,Pascal - Rapunzel’s Companion
54,Rafiki - Mysterious Sage
55,Sven - Official Ice Deliverer
56,The Queen - Wicked and Vain
57,The Wardrobe - Belle’s Confidant
58,Tinker Bell - Peter Pan’s Ally
59,Ursula - Power Hungry
60,Yzma - Alchemist
61,Zeus - God of Lightning
62,Befuddle
63,Freeze
64,Friends on the Other Side
65,Reflection
66,Magic Mirror
67,Ursula's Cauldron
68,White Rabbit's Pocket Watch
1,Ariel - On Human Legs
2,Ariel - Spectacular Singer
3,Cinderella - Gentle and Kind
4,Goofy - Musketeer
5,Hades - King of Olympus
6,Hades - Lord of the Underworld
7,HeiHei - Boat Snack
8,LeFou - Bumbler
9,Lilo - Making a Wish
10,Maximus - Palace Horse
11,Maximus - Relentless Pursuer
12,Mickey Mouse - True Friend
13,Minnie Mouse - Beloved Princess
14,Moana - Of Motunui
15,Mr. Smee - Loyal First Mate
16,Prince Phillip - Dragonslayer
17,Pumbaa - Friendly Warthog
18,Rapunzel - Gifted with Healing
19,Sebastian - Court Composer
20,Simba - Protective Cub
21,Stitch - Carefree Surfer
22,Stitch - New Dog
23,Stitch - Rock Star
24,Timon - Grub Rustler
25,Be Our Guest
26,Control Your Temper!
27,Hakuna Matata
28,Healing Glow
29,Just in Time
30,Part of Your World
31,You Have Forgotten Me
32,Dinglehopper
33,Lantern
34,Ursula's Shell Necklace69 Aladdin - Prince Ali
70,Beast - Wolfsbane
71,Cheshire Cat - Not All There
72,Cruella De Vil - Miserable as Usual
73,Duke of Weselton - Opportunistic Official
74,Flynn Rider - Charming Rogue
75,Genie - On the Job
76,Genie - Powers Unleashed
77,Genie - The Ever Impressive
78,Hans - Scheming Prince
79,Horace - No-Good Scoundrel
80,Iago - Loud-Mouthed Parrot
81,Jasper - Common Crook
82,John Silver - Alien Pirate
83,Jumba Jookiba - Renegade Scientist
84,Kuzco - Temperamental Emperor
85,Lady Tremaine - Wicked Stepmother
86,Mad Hatter - Gracious Host
87,Megara - Pulling the Strings
88,Mickey Mouse - Artful Rogue
89,Mickey Mouse - Steamboat Pilot
90,Mother Gothel - Selfish Manipulator
91,Peter Pan - Never Landing
92,Tamatoa - Drab Little Crab
93,Tinker Bell - Most Helpful
94,Do It Again!
95,Mother Knows Best
96,Stampede
97,Steal from the Rich
98,Sudden Chill
99,The Beast is Mine!
100,Vicious Betrayal
101,Dr. Facilier's Cards
102,Stolen Scimitar
103,Abu - Mischievous Monkey
104,Aladdin - Heroic Outlaw
105,Aladdin - Street Rat
106,Captain - Colonel's Lieutenant
