card_number,card_name
35,Antonio Madrigal - Animal Expert
36,Belle - Accomplished Mystic
37,Belle - Untrained Mystic
38,Bruno Madrigal - Out of the Shadows
39,Bruno Madrigal - Undetected Uncle
40,Camilo Madrigal - Prankster
41,Dolores Madrigal - Easy Listener
42,Elsa - Storm Chaser
43,"Flotsam - Ursula's ""Baby"""
44,Flotsam & Jetsam - Entangling Eels
45,Isabela Madrigal - Golden Child
46,"Jetsam - Ursula's ""Baby"""
47,Luisa Madrigal - Magically Strong One
48,Magic Broom - Illuminary Keeper
49,Magic Broom - Lively Sweeper
50,Magical Maid - Feather Duster
51,Marshmallow - Terrifying Snowman
52,Mrs. Potts - Enchanted Teapot
53,Pepa Madrigal - Weather Maker
54,Peter Pan - Shadow Finder
55,Pico - Helpful Toucan
56,Tick-Tock  - Ever-Present Pursuer
57,Ursula - Mad Sea Witch
58,Ursula - Sea Witch Queen
59,Yen Sid - Powerful Sorcerer
60,Poor Unfortunate Souls
61,Second Star to the Right
62,Swing into Action
63,Ursula’s Plan
64,Mystical Rose
65,Rose Lantern
66,Triton's Trident
67,Casa Madrigal - Casita
68,Ursula’s Lair - Eye of the Storm
1,Agustin Madrigal - Clumsy Dad
2,Alma Madrigal - Family Matriarch
3,Ariel - Singing Mermaid
4,Cinderella - Melody Weaver
5,Cogsworth - Majordomo
6,Daisy Duck - Lovely Lady
7,Daisy Duck - Musketeer Spy
8,Donald Duck - Musketeer Soldier
9,Félix Madrigal - Fun-Loving Family Man
10,Gaston - Despicable Dealer
11,Golden Harp - Enchanter of the Land
12,Goofy - Musketeer Swordsman
13,Julieta Madrigal - Excellent Cook
14,Max - Loyal Sheepdog
15,Mickey Mouse - Leader of the Band
16,Mickey Mouse - Musketeer Captain
17,Minnie Mouse - Musketeer Champion
18,Mirabel Madrigal - Gift of the Family
19,Mirabel Madrigal - Prophecy Finder
20,Pluto - Rescue Dog
21,Prince Eric - Seafaring Prince
22,Prince Eric - Ursula's Groom
23,Stitch - Alien Dancer
24,Ursula - Eric's Bride
25,Ursula - Vanessa
26,Bruno's Return
27,First Aid
28,Look at This Family
29,Lost in the Woods
30,Sign the Scroll
31,Miracle Candle
32,Record Player
33,Atlantica - Concert Hall
34,The Underworld - River Styx69 Cri-Kee - Lucky Cricket
70,Diablo - Devoted Herald
71,Diablo - Maleficent's Spy
72,Gunther - Interior Designer
73,Gus - Champion of Cheese
74,Hades - Double Dealer
75,HeiHei - Bumbling Rooster
76,Hera - Queen of the Gods
77,Jaq - Connoisseur of Climbing
78,Jasmine - Desert Warrior
79,Megara - Captivating Cynic
80,Megara - Liberated One
81,Pain - Immortal Sidekick
82,Panic - Immortal Sidekick
83,Pegasus - Cloud Racer
84,Pegasus - Gift for Hercules
85,Pete - Born to Cheat
86,Pete - Rotten Guy
87,Prince Phillip - Vanquisher of Foes
88,Prince Phillip - Warden of the Woods
89,The Fates - Only One Eye
90,The Muses - Proclaimers of Heroes
91,Tor - Florist
92,Zeus - Mr. Lightning Bolts
93,Dodge!
94,Make the Potion
95,Under the Sea
96,Ursula’s Trickery
97,We Don’t Talk About Bruno
98,Hidden Inkcaster
99,Signed Contract
100,Vision Slab
101,Hidden Cove - Tranquil Haven
102,Ursula’s Garden - Full of the Unfortunate
103,Beast - Wounded
104,Benja - Bold Uniter
105,Fa Zhou - Mulan's Father
106,Flynn Rider - Frenemy
