id,name,version,layout,released_at,cost,inkwell,ink,text,move_cost,strength,willpower,lore,rarity,collector_number,lang,flavor_text,tcgplayer_id
crd_7b8a887fbfda4b869f7529f31da115f6,Owl,Pirate Lookout,normal,2024-11-15,3,True,Amber,"WELL SPOTTED During your turn, whenever a card is put into your inkwell, chosen opposing character gets -1 {S} until the start of your next turn.",,3.0,3.0,1.0,Uncommon,1,en,"""I say, land who! Er, ho—land ho!""",588072.0
crd_f17c60d077554d25b50fd934061b2e32,Lilo,Escape Artist,normal,2024-11-15,2,True,Amber,"NO PLACE I’D RATHER BE At the start of your turn, if this card is in your discard, you may play her and she enters play exerted.",,1.0,2.0,2.0,Super_rare,2,en,"""You can't keep me away from the fun!""",592015.0
crd_59aa66bcac7b43528a3c9c01f4bc1124,Winnie the Pooh,Hunny Pirate,normal,2024-11-15,2,False,Amber,"Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)

WE'RE PIRATES, YOU SEE Whenever this character quests, you pay 1 {I} less for the next Pirate character you play this turn.",,2.0,2.0,1.0,Rare,3,en,,593050.0
crd_582917ea24ef4aa4a6921fcbe55d0100,Gopher,Ship's Carpenter,normal,2024-11-15,4,True,Amber,,,1.0,6.0,2.0,Uncommon,4,en,"""I keep fixin' this same ding-danged hole! I should start charging overtime, plus 10 percent.""",591986.0
crd_88538250940d4c2c8b56b60aaeb07674,Simba,Happy-Go-Lucky,normal,2024-11-15,2,True,Amber,,,1.0,4.0,1.0,Common,5,en,"""Look at that water, and those birds! Wow. Wait 'til Timon and Pumbaa see this!""",586882.0
crd_a3462450711a4425947830aa8a6039bf,Chip,Friend Indeed,normal,2024-11-15,3,True,Amber,"DALE'S PARTNER When you play this character, chosen character gets +1 {L} this turn.",,3.0,3.0,1.0,Common,6,en,"""Come on, Dale—this is no time for hanging around!""",578167.0
crd_166f05d54db54c06813b6dbb7693255d,Dale,Friend in Need,normal,2024-11-15,3,True,Amber,CHIP'S PARTNER This character enters play exerted unless you have a character named Chip in play.,,3.0,4.0,2.0,Common,7,en,"""But Chip, hanging around is what I do best!""",578168.0
crd_4e3967f948654fc9a2d9595743e1709f,David,Impressive Surfer,normal,2024-11-15,3,True,Amber,"SHOWING OFF While you have a character named Nani in play, this character gets +2 {L}.",,3.0,3.0,1.0,Uncommon,8,en,"""Grab a board and come on out! Choice waves today.""",592006.0
crd_39972f3e75a3417488662b70443b3164,Prince Naveen,Vigilant First Mate,normal,2024-11-15,5,True,Amber,"Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Prince Naveen.)
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",,2.0,6.0,2.0,Uncommon,9,en,,592016.0
crd_65868398266f4f95944543e1568bf043,Prince Naveen,Carefree Explorer,normal,2024-11-15,2,True,Amber,,,2.0,3.0,1.0,Common,10,en,"""Dance little friends—fill the air with light and joy. Achidanza! It is like seeing music come to life.""",593038.0
crd_5976c98ec3d145c686c0c1d5042a8ca2,Chief Bogo,Gazelle Fan,normal,2024-11-15,4,True,Amber,"YOU LIKE GAZELLE TOO? While you have a character named Gazelle in play, this character gains Singer 6. (He counts as cost 6 to sing songs.)",,4.0,4.0,1.0,Common,11,en,,593000.0
crd_68660de4a81d4426acdb185e3ff4813a,Chip,Ranger Leader,normal,2024-11-15,4,True,Amber,"THE VALUE OF FRIENDSHIP While you have a character named Dale in play, this character gains Support. (Whenever they quest, you may add their {S} to another chosen character's {S} this turn.)",,3.0,4.0,2.0,Uncommon,12,en,,578169.0
crd_f20ba045e5754b24b0c431115ab83dd8,Monterey Jack,Good-Hearted Ranger,normal,2024-11-15,4,True,Amber,,,0.0,7.0,2.0,Rare,13,en,"""There's only one thing I like more than cheese—nothin'.""",591996.0
