id,classifications
crd_7b8a887fbfda4b869f7529f31da115f6,Storyborn
crd_7b8a887fbfda4b869f7529f31da115f6,Ally
crd_7b8a887fbfda4b869f7529f31da115f6,Pirate
crd_f17c60d077554d25b50fd934061b2e32,Storyborn
crd_f17c60d077554d25b50fd934061b2e32,Hero
crd_59aa66bcac7b43528a3c9c01f4bc1124,Storyborn
crd_59aa66bcac7b43528a3c9c01f4bc1124,Hero
crd_59aa66bcac7b43528a3c9c01f4bc1124,Pirate
crd_582917ea24ef4aa4a6921fcbe55d0100,Storyborn
crd_582917ea24ef4aa4a6921fcbe55d0100,Ally
crd_582917ea24ef4aa4a6921fcbe55d0100,Pirate
crd_88538250940d4c2c8b56b60aaeb07674,Storyborn
crd_88538250940d4c2c8b56b60aaeb07674,Hero
crd_88538250940d4c2c8b56b60aaeb07674,Prince
crd_a3462450711a4425947830aa8a6039bf,Storyborn
crd_a3462450711a4425947830aa8a6039bf,Hero
crd_166f05d54db54c06813b6dbb7693255d,Storyborn
crd_166f05d54db54c06813b6dbb7693255d,Hero
crd_4e3967f948654fc9a2d9595743e1709f,Storyborn
crd_4e3967f948654fc9a2d9595743e1709f,Ally
crd_39972f3e75a3417488662b70443b3164,Floodborn
crd_39972f3e75a3417488662b70443b3164,Hero
crd_39972f3e75a3417488662b70443b3164,Prince
crd_65868398266f4f95944543e1568bf043,Storyborn
crd_65868398266f4f95944543e1568bf043,Hero
crd_65868398266f4f95944543e1568bf043,Prince
crd_5976c98ec3d145c686c0c1d5042a8ca2,Storyborn
crd_68660de4a81d4426acdb185e3ff4813a,Storyborn
crd_68660de4a81d4426acdb185e3ff4813a,Hero
crd_f20ba045e5754b24b0c431115ab83dd8,Storyborn
crd_f20ba045e5754b24b0c431115ab83dd8,Ally
crd_b0c8c37c12834fa1b2b7d831b172ff0c,Floodborn
crd_b0c8c37c12834fa1b2b7d831b172ff0c,Hero
crd_17a352bad7df43d2bfd36a9c2c475c6c,Storyborn
crd_17a352bad7df43d2bfd36a9c2c475c6c,Hero
crd_c01f3a4124be48dbb77aaa45281e74ba,Storyborn
crd_c01f3a4124be48dbb77aaa45281e74ba,Hero
crd_c01f3a4124be48dbb77aaa45281e74ba,Princess
crd_07af0c79c9fe46728b147454f273deac,Storyborn
crd_07af0c79c9fe46728b147454f273deac,Alien
crd_a0d0572121974dd1afc318bb0fd0907e,Storyborn
crd_a0d0572121974dd1afc318bb0fd0907e,Hero
crd_43a7721fdfb145f8a5216c85da2c77ec,Storyborn
crd_43a7721fdfb145f8a5216c85da2c77ec,Hero
crd_a94b5e02de4a43bdba60303fffe3d20f,Floodborn
crd_a94b5e02de4a43bdba60303fffe3d20f,Hero
crd_a94b5e02de4a43bdba60303fffe3d20f,Prince
crd_4557d5bc41de40728df0ebbbdce4787f,Storyborn
crd_4557d5bc41de40728df0ebbbdce4787f,Ally
crd_6656edfc61dd4cc0846fee37f6c8e7b9,Dreamborn
crd_6656edfc61dd4cc0846fee37f6c8e7b9,Ally
crd_6656edfc61dd4cc0846fee37f6c8e7b9,Pirate
crd_8497d60197bd451c91b4c2468f85b156,Dreamborn
crd_8497d60197bd451c91b4c2468f85b156,Ally
crd_8497d60197bd451c91b4c2468f85b156,Pirate
crd_19217586b3924276aa8996d318f83139,Storyborn
crd_5de4864e187a4039b3e47b6ada93b801,Dreamborn
crd_5de4864e187a4039b3e47b6ada93b801,Hero
crd_5de4864e187a4039b3e47b6ada93b801,Pirate
crd_5de4864e187a4039b3e47b6ada93b801,Captain
crd_91292f4ca0684baf9ed9715bf7caa07a,Storyborn
crd_91292f4ca0684baf9ed9715bf7caa07a,Hero
crd_91292f4ca0684baf9ed9715bf7caa07a,Alien
crd_a9d39ce276fd4f1b9435d1bb1d09559c,
crd_128b29d2aef043efb62b2fb63189c4ca,
crd_be7a93b4b99b4a8b9da63fd956fa3c86,
crd_cf72db3ded534d7086fb4ead70250f95,
crd_d4d40d9e539442f592da01b640e440a7,
crd_4251575ec547497da73676a6a09c8872,
crd_a631b5ead5b34dd4b89ae313a3dcbd1d,
crd_2fd6877d711c45f68ad61690d224306a,
crd_c9365d1b256c4d0fa0600686f72b6f3b,
crd_856fe3c718b544ba808b79a6811bca02,Storyborn
crd_856fe3c718b544ba808b79a6811bca02,Villain
crd_856fe3c718b544ba808b79a6811bca02,Deity
crd_cb73a29ef0e94fdb80188902527c5d86,Storyborn
crd_cb73a29ef0e94fdb80188902527c5d86,Villain
crd_cb73a29ef0e94fdb80188902527c5d86,Sorcerer
crd_8a0ce27bd434498ba454be0571e58c5b,Storyborn
crd_8a0ce27bd434498ba454be0571e58c5b,Ally
crd_c695077508c44d728ac42c65ac8c97ab,Storyborn
crd_c695077508c44d728ac42c65ac8c97ab,Hero
crd_c695077508c44d728ac42c65ac8c97ab,Deity
crd_c695077508c44d728ac42c65ac8c97ab,Dragon
crd_6fbd9103624b4b8d95fec133326385c7,Storyborn
crd_617dc5c42bf6460da3d61a1f330186bf,Storyborn
crd_617dc5c42bf6460da3d61a1f330186bf,Ally
crd_2f12cdedeefb448eb412128fb4a80fc7,Storyborn
crd_2f12cdedeefb448eb412128fb4a80fc7,Mentor
crd_2f12cdedeefb448eb412128fb4a80fc7,Sorcerer
crd_ea5cca0b6f8747b8a438b6cdced02d93,Storyborn
crd_ea5cca0b6f8747b8a438b6cdced02d93,Ally
crd_ea5cca0b6f8747b8a438b6cdced02d93,Fairy
crd_034ca9ad96044d5297e30286fbd64ecb,Storyborn
crd_92d831ee2e5b430a9bbbcf7d684bbd57,Dreamborn
crd_92d831ee2e5b430a9bbbcf7d684bbd57,Ally
crd_65425d8d8a8447d98f4571b7e42c8782,Storyborn
crd_6cd588941df64ee2a38738b7f7e23c6a,Dreamborn
crd_6cd588941df64ee2a38738b7f7e23c6a,Villain
crd_6cd588941df64ee2a38738b7f7e23c6a,Sorcerer
crd_99ced91e0cc94c6cb0be7bf655372dfd,Floodborn
crd_99ced91e0cc94c6cb0be7bf655372dfd,Ally
crd_99ced91e0cc94c6cb0be7bf655372dfd,Queen
crd_99ced91e0cc94c6cb0be7bf655372dfd,Fairy
crd_99ced91e0cc94c6cb0be7bf655372dfd,Captain
