id_card,id_set,code,name
crd_7b8a887fbfda4b869f7529f31da115f6,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_f17c60d077554d25b50fd934061b2e32,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_59aa66bcac7b43528a3c9c01f4bc1124,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_582917ea24ef4aa4a6921fcbe55d0100,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_88538250940d4c2c8b56b60aaeb07674,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a3462450711a4425947830aa8a6039bf,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_166f05d54db54c06813b6dbb7693255d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_4e3967f948654fc9a2d9595743e1709f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_39972f3e75a3417488662b70443b3164,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_65868398266f4f95944543e1568bf043,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5976c98ec3d145c686c0c1d5042a8ca2,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_68660de4a81d4426acdb185e3ff4813a,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_f20ba045e5754b24b0c431115ab83dd8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_b0c8c37c12834fa1b2b7d831b172ff0c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_17a352bad7df43d2bfd36a9c2c475c6c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c01f3a4124be48dbb77aaa45281e74ba,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_07af0c79c9fe46728b147454f273deac,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a0d0572121974dd1afc318bb0fd0907e,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_43a7721fdfb145f8a5216c85da2c77ec,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a94b5e02de4a43bdba60303fffe3d20f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_4557d5bc41de40728df0ebbbdce4787f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6656edfc61dd4cc0846fee37f6c8e7b9,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_8497d60197bd451c91b4c2468f85b156,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_19217586b3924276aa8996d318f83139,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5de4864e187a4039b3e47b6ada93b801,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_91292f4ca0684baf9ed9715bf7caa07a,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a9d39ce276fd4f1b9435d1bb1d09559c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_128b29d2aef043efb62b2fb63189c4ca,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_be7a93b4b99b4a8b9da63fd956fa3c86,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_cf72db3ded534d7086fb4ead70250f95,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_d4d40d9e539442f592da01b640e440a7,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_4251575ec547497da73676a6a09c8872,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a631b5ead5b34dd4b89ae313a3dcbd1d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2fd6877d711c45f68ad61690d224306a,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c9365d1b256c4d0fa0600686f72b6f3b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_856fe3c718b544ba808b79a6811bca02,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_cb73a29ef0e94fdb80188902527c5d86,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_8a0ce27bd434498ba454be0571e58c5b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c695077508c44d728ac42c65ac8c97ab,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6fbd9103624b4b8d95fec133326385c7,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_617dc5c42bf6460da3d61a1f330186bf,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2f12cdedeefb448eb412128fb4a80fc7,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_ea5cca0b6f8747b8a438b6cdced02d93,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_034ca9ad96044d5297e30286fbd64ecb,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_92d831ee2e5b430a9bbbcf7d684bbd57,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_65425d8d8a8447d98f4571b7e42c8782,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6cd588941df64ee2a38738b7f7e23c6a,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_99ced91e0cc94c6cb0be7bf655372dfd,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_1419caf47da54560bbafd279ca6cfc4b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_dc31d36d626f403b871338da45d0a685,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_00d0840f303c41b1868ce427b9aaf837,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_97344330887a427fb7f2cbb01b7a3f0c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9a41d700cf2749da8eed29420df7467c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_d84325bc9e814a69b6789f424c3a1eb8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_997d20bbd2204f4a8cd9670598d8405c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_02c20f35d83f4d6094a4427dae0c821f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c6f28ec2e7a94ce0901675915ba9ff7c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_421a2dfb847b406fb91556a8ee090423,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_374115dba006482aa076efca3e52635a,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6b0de2d0a5b84b5f852ba2a8eccd1a17,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5cbbabaf0d9f4ad58c942174904a1d8f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9bc0e3add087485a927ee66c7414802d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_d7336a7cef10416793a025c24ffc28a0,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_bb8cbf92bd50483b979bd9ad606987ae,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2a6593b0affd4fbb8860ab6b3b131a50,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_075482312a124f6585f77be3a693f63f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_030f9799a2ef4cc0afedc46a03650e70,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_107f43772b78405f8a4fb587e8279d14,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9119b44cfe67444288a32f23009541e8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_3aa1cf07954647c89708b98355e6c976,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_44fceab89d3a4b40bd343c2c84a5cca3,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_efcb250575354ffd8cdce9e8c45d52bf,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2331f6d883e04464ba99cfff895683e2,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_f20b9f97af684d8e84eb6b017eabd8d5,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9cbf437511cf41c7b61f04f01a22c39e,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7c33f5d581a4424f97da41b37ef8f723,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_8c75431635854114b956328d8d30aa10,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_aab30247315a46debf548693f0b814c0,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_e2546a2e03c8442aba30fd09105e54db,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_466a67ed11c64db5962523365e633f0d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9aa8f725b1184ad1ab93f2c138625077,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_23e456f99c354c9892c90d72d6992bcb,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_11902901f7364369970762d49a1a760d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_ad218b44923244058918299a897f9e4c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_582e975ec5b64cb7be3e406585a05a6d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_3463916fe4e54939a91ee57a62d50ba2,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c089296aad2d4e4c86c0225be686795b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c53a704a909445f5b2837b51f29faa47,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_228ea83f82c34ee6a0df937dd8efe3f4,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_94afdca365e64d8ba0d826076fc4448e,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_1ee71443799d40dfb924b0c0f041ea5d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_479312aef4f4411f8bd173c113ab31f4,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5406218b8d7a41a68bdf0be3029acf05,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7ce20e98d86e43eaaf8c525c60f4086c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_b87dd2f01e364f679975158dd2637a6d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_b2f167a1614348f194ac43b390bd7fe1,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7b4400dc0c6b407083fd848dd281e6d8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_1ed3d03ca8724920aa9dccede9e08900,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6d0654972afb4eb581136a391d3f967b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_9d508f285a934e1fbdd5182fc46734b9,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_766de0c1ae8b4e5da1ecd7740eb5feb8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2f052175c77d4035b1e261bf1675aee8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2baa971c1cbf4f349f4d343cd97010d5,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_c71e324054e14edfa3df845b31689f31,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_46799cbfa9fd48629572bf3851c598af,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_e093d909d79f4dd5baaccae93139c95b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_8ca524116c8e486f99597ca9a67b803b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_f0088a27ad794105a7a6858c5f32e3a8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_6c12ae52fc6c4244b1f638ff2102bf59,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_cfd767c1ed88437486b41bb5670ccc1c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2f6b3b92c227489ab785e1d828ea5f44,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_8f39dbce50c045b49ae76f290eedd29c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_df8f4f463d6e4b7483db0bfccd609059,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_4b053bdcc56546798dfd962d892a3630,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_01d728f9a98643378187ab0151a89b06,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7873f8596eef4066bc23325ceeedcfd8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_772912bd2bb0469890adfcc1b3eedd61,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_97ffca1bcf534de0ae272cbe065245f8,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a5acdc20f6a54938be2874ab080a9053,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_0e20ed4554c44df494fcf78ac9ce0239,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_ea56665b30604ff0977e95ad7442f5f5,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a545a0ceb41d4f2583bdc22226df0e31,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_bb6785f344ac4b43812ed03ffe3793af,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5123478aad6349f1a3f4500b31bc7d5e,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_aace3808bd9f445195dceec7b4fe87e9,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_edb66d70e4d743b9927bd431e8aaedf7,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_eea9acebbeb6449a8cc03786f5bca24d,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_abdee4f2746b40b48c29ea5f3da815b2,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_025d33fc4b0c45caabfa10a108e46acd,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_d388e59bbe7d4da98d3779993a350b4c,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_d65c18ee25cd417bbb2c14e01f2a69a5,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_3f429b4816d0421cb951261fa3552a95,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_2543ac0748a945e3a4a68ef2f90e2feb,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_b9c345526a994ae88d5832aac9f083b9,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5b57ee130c204b778df487c9826834c1,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5c09e6638f7f4eccaa8ae9cf545702cc,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7dd1be4d36094e6a9429298fb6a2d7df,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_a881e85e281f4e3abe2fbf0437a5c159,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_64b2156407ef4b99a1636bf189825eaa,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_7394b4b887f3447dae760121d9ddef7b,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_975737e961724e1983ed15fa1f6fbb33,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_5fe66ed6c5c842ac9e0ea2eba5ca3a4f,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_aa952f818e964c30b5d4be10e3654474,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_b513512cb8c04917ae7d0cbe7e1aa355,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_4aa4ce170d6840e393a1ffd6c44d96ee,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
crd_e4908765126742488bab30dd0beb2c12,set_0df34ab314e04a479ef3538fd6c3e4e1,6,Azurite Sea
