id,name,version,layout,released_at,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_2867c1fd1a954efabc42975882f5be8c,Baloo,von Bruinwald XIII,normal,2024-02-23,3,False,Amber,Character,"['Dreamborn', 'Hero']","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
LET'S MAKE LIKE A TREE When this character is banished, gain 2 lore.",['Bodyguard'],,0.0,3.0,1.0,Rare,['Cam Kendell'],1,en,,539060,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.95', 'usd_foil': '3.17'}"
crd_b00e336742ab4743850d9927c06c7c6e,Bernard,Brand-New Agent,normal,2024-02-23,4,True,Amber,Character,"['Storyborn', 'Hero']","I'LL CHECK IT OUT At the end of your turn, if this character is exerted, you may ready another chosen character of yours.",[],,1.0,5.0,2.0,Rare,['Jacob McAlister'],2,en,"""You stay there. I'll look for scattered lore.""",537218,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.14', 'usd_foil': '0.31'}"
crd_58705a75ce1c4f19aabe741129079750,Chernabog,Evildoer,normal,2024-02-23,10,False,Amber,Character,"['Storyborn', 'Villain']","THE POWER OF EVIL For each character card in your discard, you pay 1 {I} less to play this character.
SUMMON THE SPIRITS When you play this character, shuffle all character cards from your discard into your deck.",[],,9.0,9.0,3.0,Super_rare,['Evana Kisa / Jochem van Gool'],3,en,Darkness calls to minions everywhere.,539061,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.45', 'usd_foil': '1.52'}"
crd_97f8be5e176144378d58823c6f9c29c7,Dalmatian Puppy,Tail Wagger,normal,2024-02-23,2,True,Amber,Character,"['Storyborn', 'Puppy']",WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,[],,2.0,3.0,1.0,Common,['Kapik'],4a,en,First they steal your heart. Then they steal your chair.,532867,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.5', 'usd_foil': '0.67'}"
crd_2ecfea1cd29e41618fda08362f460bdc,Dalmatian Puppy,Tail Wagger,normal,2024-02-23,2,True,Amber,Character,"['Storyborn', 'Puppy']",WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,[],,2.0,3.0,1.0,Common,['Kapik'],4b,en,First they steal your heart. Then they steal your chair.,532868,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.48', 'usd_foil': '0.65'}"
crd_82e9ddd673ac49919082b20bcb77abbd,Dalmatian Puppy,Tail Wagger,normal,2024-02-23,2,True,Amber,Character,"['Storyborn', 'Puppy']",WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,[],,2.0,3.0,1.0,Common,['Kapik'],4c,en,First they steal your heart. Then they steal your chair.,532869,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.47', 'usd_foil': '0.76'}"
crd_cb48f84437c6466281d05da11bcef9fc,Dalmatian Puppy,Tail Wagger,normal,2024-02-23,2,True,Amber,Character,"['Storyborn', 'Puppy']",WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,[],,2.0,3.0,1.0,Common,['Kapik'],4d,en,First they steal your heart. Then they steal your chair.,532870,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.44', 'usd_foil': '0.63'}"
crd_69bb8a1a94dc429c91610c92a7108dbb,Dalmatian Puppy,Tail Wagger,normal,2024-02-23,2,True,Amber,Character,"['Storyborn', 'Puppy']",WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,[],,2.0,3.0,1.0,Common,['Kapik'],4e,en,First they steal your heart. Then they steal your chair.,532871,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.47', 'usd_foil': '0.62'}"
crd_3ff14fbe696348d281fb1974bdcd8e5f,Joshua Sweet,The Doctor,normal,2024-02-23,4,True,Amber,Character,"['Storyborn', 'Ally']",Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),['Bodyguard'],,1.0,5.0,2.0,Common,['Jeanne Plounevez'],5,en,"""Heading out to the Inklands? Come on back if
you need patching up.""",537753,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.04', 'usd_foil': '0.17'}"
crd_0f90f3b193fa44789e5abeb293636e4f,Kida,Atlantean,normal,2024-02-23,1,True,Amber,Character,"['Storyborn', 'Hero', 'Princess']",,[],,2.0,2.0,1.0,Common,['Nicoletta Baldari'],6,en,"""Welcome to the Inklands""",536275,{'core': 'legal'},"{'id': 'set_10a1db03fe66417c9912494b94463e8e', 'code': '3', 'name': 'Into the Inklands'}","{'usd': '0.1', 'usd_foil': '0.42'}"
