id,name,version,layout,released_at,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_7202d58f49f84525b3a9364c319772f3,Koda,Talkative Cub,normal,2024-08-09,2,True,Amber,Character,"['Storyborn', 'Ally']","TELL EVERYBODY During opponents' turns, you can't lose lore.",[],,2.0,1.0,2.0,Rare,['Therese Vildefall'],1,en,"""I mean, I don't want to brag or nothing, but I got some moves.""",560505,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.16', 'usd_foil': '0.47'}"
crd_7cfdb563e48a4998ae06726dd5feda7d,Nala,Mischievous Cub,normal,2024-08-09,1,True,Amber,Character,"['Storyborn', 'Ally']",,[],,0.0,4.0,1.0,Uncommon,['Shannon Hallstein'],2,en,The Lorcana Hide-and-Seek Championship was hers for the taking.,561595,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.07', 'usd_foil': '0.23'}"
crd_e9dd2025da3b4ef7adf3f2b9cd67f421,Prince Naveen,Ukulele Player,normal,2024-08-09,4,False,Amber,Character,"['Storyborn', 'Hero', 'Prince']","Singer 6 (This character counts as cost 6 to sing songs.)
IT'S BEAUTIFUL, NO? When you play this character, you may play a song with cost 6 or less for free.",['Singer'],,3.0,3.0,2.0,Legendary,['Rosa la Barbera / Livio Cacciatore'],3,en,,561187,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '7.66', 'usd_foil': '15.2'}"
crd_db3ade6d337c4c72aad63938a16e7692,Rutt,Northern Moose,normal,2024-08-09,4,True,Amber,Character,"['Storyborn', 'Ally']","Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)",['Support'],,3.0,4.0,1.0,Common,['Ron Baird'],4,en,"""Let's find some nice twigs, eh? I could use a snack!""",560498,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.02', 'usd_foil': '0.14'}"
crd_85a886f78a71416aa253879cbe81d8dd,Kenai,Big Brother,normal,2024-08-09,2,True,Amber,Character,"['Storyborn', 'Hero']","BROTHERS FOREVER While this character is exerted, your characters named Koda can't be challenged.",[],,1.0,4.0,1.0,Common,['Chunxi Mu'],5,en,"""You have to look after your little brother, no matter how big a pain he is.""
-Kenai",560502,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.03', 'usd_foil': '0.16'}"
crd_d3dd900e88304c778c319c8facd2c8f2,Vanellope von Schweetz,Sugar Rush Champ,normal,2024-08-09,1,True,Amber,Character,"['Storyborn', 'Hero', 'Princess', 'Racer']",,[],,2.0,2.0,1.0,Common,['César Vergara / Eri Welli'],6,en,"""Look, the code may say I'm a princess, but I know who I really am...""",555241,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.04', 'usd_foil': '0.19'}"
crd_461c6287b34c4be19933bac34f7c7d78,Tuke,Northern Moose,normal,2024-08-09,4,True,Amber,Character,"['Storyborn', 'Ally']",,[],,4.0,4.0,1.0,Common,['Ron Baird'],7,en,"""I'd love a snack, but I'm kinda tied up right now.""",560496,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.03', 'usd_foil': '0.14'}"
crd_907793ab7fb44dd38c58f0dc1172a7d6,Lilo,Junior Cake Decorator,normal,2024-08-09,2,True,Amber,Character,"['Storyborn', 'Hero']","Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)",['Support'],,1.0,3.0,1.0,Common,['Olivier Désirée'],8,en,"""Peanut butter and pineapple! This'll be the best cake ever!""",561596,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.06', 'usd_foil': '0.2'}"
crd_48fb46a8fbdd4615a2c9ab99f304a0f2,Vanellope von Schweetz,Candy Mechanic,normal,2024-08-09,2,True,Amber,Character,"['Dreamborn', 'Hero', 'Princess', 'Racer']","YOU'VE GOT TO PAY TO PLAY Whenever this character quests, chosen opposing character gets -1 {S} until the start of your next turn.",[],,2.0,2.0,1.0,Common,['Hedvig Häggman-Sund'],9,en,"""I'll take whatever you've got...as long as it's got sugar in it.""",561946,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.04', 'usd_foil': '0.17'}"
crd_e300981771704026815250b876ae28be,"Fix-It Felix, Jr.",Trusty Builder,normal,2024-08-09,3,True,Amber,Character,"['Storyborn', 'Hero']",Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),['Bodyguard'],,2.0,4.0,1.0,Common,['Hedvig Häggman-Sund'],10,en,"""Golly, this place is going to take some real fixing!""",559769,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.04', 'usd_foil': '0.16'}"
crd_12426744b21049a39b01acf3d93e4311,Gazelle,Pop Star,normal,2024-08-09,3,True,Amber,Character,"['Storyborn', 'Ally']",Singer 5 (This character counts as cost 5 to sing songs.),['Singer'],,2.0,3.0,2.0,Common,['Lauren Barger'],11,en,"""Good evening, Lorcana! We are here tonight to celebrate the possibilities that open up to us when we unite.""",561947,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.04', 'usd_foil': '0.19'}"
crd_894f1b97871342e29b414e927dcd1140,"Fix-It Felix, Jr.",Niceland Steward,normal,2024-08-09,5,True,Amber,Character,"['Floodborn', 'Hero']","Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Fix-It Felix, Jr.)
BUILDING TOGETHER Your locations get +2 {W}.",['Shift'],,4.0,5.0,1.0,Uncommon,['João Moura'],12,en,,559773,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.1', 'usd_foil': '0.45'}"
crd_1ebd5b431d3c46b882e3c95712a9502a,Kristoff,Reindeer Keeper,normal,2024-08-09,9,False,Amber,Character,"['Dreamborn', 'Ally']","SONG OF THE HERD For each song card in your discard, you pay 1 {I} less to play this character.
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",[],,3.0,7.0,3.0,Rare,['Jochem van Gool'],13,en,,555242,{'core': 'legal'},"{'id': 'set_c64f092e725a4f66966f43af3aa161b6', 'code': '5', 'name': 'Shimmering Skies'}","{'usd': '0.25', 'usd_foil': '0.43'}"
