id,name,version,layout,released_at,image_uris,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_7b8a887fbfda4b869f7529f31da115f6,Owl,Pirate Lookout,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_7b8a887fbfda4b869f7529f31da115f6.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_7b8a887fbfda4b869f7529f31da115f6.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_7b8a887fbfda4b869f7529f31da115f6.avif?1730901319'}}",3,True,Amber,['Character'],"['Storyborn', 'Ally', 'Pirate']","WELL SPOTTED During your turn, whenever a card is put into your inkwell, chosen opposing character gets -1 {S} until the start of your next turn.",[],,3.0,3.0,1.0,Uncommon,['Omar Lozano'],1,en,"""I say, land who! Er, ho—land ho!""",588072,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.1', 'usd_foil': '0.21'}"
crd_f17c60d077554d25b50fd934061b2e32,Lilo,Escape Artist,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_f17c60d077554d25b50fd934061b2e32.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_f17c60d077554d25b50fd934061b2e32.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_f17c60d077554d25b50fd934061b2e32.avif?1730901319'}}",2,True,Amber,['Character'],"['Storyborn', 'Hero']","NO PLACE I’D RATHER BE At the start of your turn, if this card is in your discard, you may play her and she enters play exerted.",[],,1.0,2.0,2.0,Super_rare,['Grzegorz Krysiński'],2,en,"""You can't keep me away from the fun!""",592015,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '5.34', 'usd_foil': '14.54'}"
crd_59aa66bcac7b43528a3c9c01f4bc1124,Winnie the Pooh,Hunny Pirate,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_59aa66bcac7b43528a3c9c01f4bc1124.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_59aa66bcac7b43528a3c9c01f4bc1124.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_59aa66bcac7b43528a3c9c01f4bc1124.avif?1730901319'}}",2,False,Amber,['Character'],"['Storyborn', 'Hero', 'Pirate']","Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)

WE'RE PIRATES, YOU SEE Whenever this character quests, you pay 1 {I} less for the next Pirate character you play this turn.",['Support'],,2.0,2.0,1.0,Rare,['Koni'],3,en,,593050,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.18', 'usd_foil': '2.08'}"
crd_582917ea24ef4aa4a6921fcbe55d0100,Gopher,Ship's Carpenter,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_582917ea24ef4aa4a6921fcbe55d0100.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_582917ea24ef4aa4a6921fcbe55d0100.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_582917ea24ef4aa4a6921fcbe55d0100.avif?1730901319'}}",4,True,Amber,['Character'],"['Storyborn', 'Ally', 'Pirate']",,[],,1.0,6.0,2.0,Uncommon,['Wouter Bruneel'],4,en,"""I keep fixin' this same ding-danged hole! I should start charging overtime, plus 10 percent.""",591986,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.09', 'usd_foil': '0.19'}"
crd_88538250940d4c2c8b56b60aaeb07674,Simba,Happy-Go-Lucky,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_88538250940d4c2c8b56b60aaeb07674.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_88538250940d4c2c8b56b60aaeb07674.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_88538250940d4c2c8b56b60aaeb07674.avif?1730901319'}}",2,True,Amber,['Character'],"['Storyborn', 'Hero', 'Prince']",,[],,1.0,4.0,1.0,Common,['Marco Giorgianni'],5,en,"""Look at that water, and those birds! Wow. Wait 'til Timon and Pumbaa see this!""",586882,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.08', 'usd_foil': '0.16'}"
crd_a3462450711a4425947830aa8a6039bf,Chip,Friend Indeed,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a3462450711a4425947830aa8a6039bf.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a3462450711a4425947830aa8a6039bf.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a3462450711a4425947830aa8a6039bf.avif?1730901319'}}",3,True,Amber,['Character'],"['Storyborn', 'Hero']","DALE'S PARTNER When you play this character, chosen character gets +1 {L} this turn.",[],,3.0,3.0,1.0,Common,['Ron Baird'],6,en,"""Come on, Dale—this is no time for hanging around!""",578167,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.1', 'usd_foil': '0.26'}"
crd_166f05d54db54c06813b6dbb7693255d,Dale,Friend in Need,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_166f05d54db54c06813b6dbb7693255d.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_166f05d54db54c06813b6dbb7693255d.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_166f05d54db54c06813b6dbb7693255d.avif?1730901319'}}",3,True,Amber,['Character'],"['Storyborn', 'Hero']",CHIP'S PARTNER This character enters play exerted unless you have a character named Chip in play.,[],,3.0,4.0,2.0,Common,['Ron Baird'],7,en,"""But Chip, hanging around is what I do best!""",578168,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.1', 'usd_foil': '0.18'}"
crd_4e3967f948654fc9a2d9595743e1709f,David,Impressive Surfer,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4e3967f948654fc9a2d9595743e1709f.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4e3967f948654fc9a2d9595743e1709f.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4e3967f948654fc9a2d9595743e1709f.avif?1730901319'}}",3,True,Amber,['Character'],"['Storyborn', 'Ally']","SHOWING OFF While you have a character named Nani in play, this character gets +2 {L}.",[],,3.0,3.0,1.0,Uncommon,['Valentin Palombo'],8,en,"""Grab a board and come on out! Choice waves today.""",592006,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.1', 'usd_foil': '0.15'}"
crd_39972f3e75a3417488662b70443b3164,Prince Naveen,Vigilant First Mate,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_39972f3e75a3417488662b70443b3164.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_39972f3e75a3417488662b70443b3164.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_39972f3e75a3417488662b70443b3164.avif?1730901319'}}",5,True,Amber,['Character'],"['Floodborn', 'Hero', 'Prince']","Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Prince Naveen.)
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)","['Bodyguard', 'Shift']",,2.0,6.0,2.0,Uncommon,['Francesco Colucci'],9,en,,592016,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.04', 'usd_foil': '0.18'}"
crd_65868398266f4f95944543e1568bf043,Prince Naveen,Carefree Explorer,normal,2024-11-15,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_65868398266f4f95944543e1568bf043.avif?1730901319', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_65868398266f4f95944543e1568bf043.avif?1730901319', 'large': 'https://cards.lorcast.io/card/digital/large/crd_65868398266f4f95944543e1568bf043.avif?1730901319'}}",2,True,Amber,['Character'],"['Storyborn', 'Hero', 'Prince']",,[],,2.0,3.0,1.0,Common,['Luca Pinelli'],10,en,"""Dance little friends—fill the air with light and joy. Achidanza! It is like seeing music come to life.""",593038,{'core': 'not_legal'},"{'id': 'set_0df34ab314e04a479ef3538fd6c3e4e1', 'code': '6', 'name': 'Azurite Sea'}","{'usd': '0.06', 'usd_foil': '0.14'}"
