id,name,version,layout,released_at,image_uris,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_a9407e39c2ee47869d7a634aa46a7f04,Mickey Mouse,Brave Little Tailor,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a9407e39c2ee47869d7a634aa46a7f04.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a9407e39c2ee47869d7a634aa46a7f04.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a9407e39c2ee47869d7a634aa46a7f04.avif?1728609660'}}",8,True,Ruby,['Character'],"['Dreamborn', 'Hero']",Evasive (Only characters with Evasive can challenge this character.),['Evasive'],,5.0,5.0,4.0,Promo,['Nicholas Kole'],1,en,"When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.",454233,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_f8c86fca55d8453da9c1c6a39a5164dd,Stitch,Rock Star,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_f8c86fca55d8453da9c1c6a39a5164dd.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_f8c86fca55d8453da9c1c6a39a5164dd.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_f8c86fca55d8453da9c1c6a39a5164dd.avif?1728609660'}}",6,True,Amber,['Character'],"['Floodborn', 'Hero', 'Alien']","Shift 4 (You may pay 4 {I} to play this on top of one of your Stitch characters.)
ADORING FANS Whenever you play a character with cost 2 or less, you may exert it to draw a card.",['Shift'],,3.0,5.0,3.0,Promo,['Simangaliso Sibaya'],2,en,The best part about a beachside concert is that there's always room for one more.,454245,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_d01b88e57beb41db97537585ad763334,Elsa,Snow Queen,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_d01b88e57beb41db97537585ad763334.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_d01b88e57beb41db97537585ad763334.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_d01b88e57beb41db97537585ad763334.avif?1728609660'}}",3,True,Amethyst,['Character'],"['Dreamborn', 'Hero', 'Queen', 'Sorcerer']",FREEZE {E} – Exert chosen opposing character.,[],,2.0,3.0,1.0,Promo,['Nicholas Kole'],3,en,"Recreated by magical ink, Elsa found herself in an unfamiliar new world. Fortunately, ice works the same way everywhere.",454230,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_09435d146f0844b3ac864e77a8ac746d,Cruella De Vil,Miserable As Usual,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_09435d146f0844b3ac864e77a8ac746d.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_09435d146f0844b3ac864e77a8ac746d.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_09435d146f0844b3ac864e77a8ac746d.avif?1728609660'}}",2,True,Emerald,['Character'],"['Storyborn', 'Villain']","YOU'LL BE SORRY! When this character is challenged and banished, you may return chosen character to their player’s hand.",[],,1.0,3.0,1.0,Promo,['Nicholas Kole'],4,en,"When she stops by, misery is company.",454229,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_4962196e0306474a8191dc8624c1b7ef,Maleficent,Monstrous Dragon,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4962196e0306474a8191dc8624c1b7ef.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4962196e0306474a8191dc8624c1b7ef.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4962196e0306474a8191dc8624c1b7ef.avif?1728609660'}}",9,True,Ruby,['Character'],"['Storyborn', 'Villain', 'Dragon']","DRAGON FIRE When you play this character, you may banish chosen opposing character.",[],,7.0,5.0,2.0,Promo,['Luis Huerta'],5,en,"The ninth Rule of Villainy: When all else fails, turn into a dragon.",454232,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_ca25b4581bec448ca5dc7f742615aea8,Robin Hood,Unrivaled Archer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ca25b4581bec448ca5dc7f742615aea8.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ca25b4581bec448ca5dc7f742615aea8.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ca25b4581bec448ca5dc7f742615aea8.avif?1728609660'}}",6,True,Sapphire,['Character'],"['Storyborn', 'Hero']","FEED THE POOR When you play this character, if an opponent has more cards in their hand than you, draw a card.
GOOD SHOT During your turn, this character has Evasive. (They can challenge characters with Evasive.)",[],,4.0,4.0,2.0,Promo,['John Loren'],6,en,"""We never rob. We just sort of borrow a bit from those who can afford it.""",454234,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_d41a4c80d657424e855e6e3f06caccb8,Captain Hook,Forceful Duelist,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_d41a4c80d657424e855e6e3f06caccb8.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_d41a4c80d657424e855e6e3f06caccb8.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_d41a4c80d657424e855e6e3f06caccb8.avif?1728609660'}}",1,True,Steel,['Character'],"['Dreamborn', 'Villain', 'Pirate', 'Captain']","Challenger +2 (When challenging, this character gets +2 {S}.)",['Challenger'],,1.0,2.0,1.0,Promo,['Marcel Berg'],7,en,He loves to make light of a foe's predicament.,454231,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_a4e2a291ea24493f8974e6ba5f2ec64d,Mickey Mouse,Detective,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a4e2a291ea24493f8974e6ba5f2ec64d.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a4e2a291ea24493f8974e6ba5f2ec64d.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a4e2a291ea24493f8974e6ba5f2ec64d.avif?1728609660'}}",3,False,Sapphire,['Character'],"['Dreamborn', 'Hero', 'Detective']","GET A CLUE When you play this character, you may put the top card of your deck into your inkwell facedown and exerted.",[],,1.0,3.0,1.0,Promo,['Jared Nickerl'],8,en,"Wherever the seaweed had come from, Mickey was sure of one thing: something fishy was going on.",501773,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_34cb2d9dcb664dd590e7122735212e37,HeiHei,Boat Snack,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_34cb2d9dcb664dd590e7122735212e37.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_34cb2d9dcb664dd590e7122735212e37.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_34cb2d9dcb664dd590e7122735212e37.avif?1728609660'}}",1,True,Amber,['Character'],"['Storyborn', 'Ally']","Support (Whenever this character quests, you may add their {S} to chosen character's {S} this turn.)",['Support'],,1.0,2.0,1.0,Promo,['Jenna Gray'],9,en,"""Sometimes, our strengths lie beneath the surface. Far beneath, in some cases....""
-Moana",502012,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
crd_d5ae36cf042240b6b63968ee83fb113e,Yzma,Alchemist,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_d5ae36cf042240b6b63968ee83fb113e.avif?1728609660', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_d5ae36cf042240b6b63968ee83fb113e.avif?1728609660', 'large': 'https://cards.lorcast.io/card/digital/large/crd_d5ae36cf042240b6b63968ee83fb113e.avif?1728609660'}}",2,True,Amethyst,['Character'],"['Dreamborn', 'Villain', 'Sorcerer']","YOU'RE EXCUSED Whenever this character quests, look at the top card of your deck. Put it on either the top or the bottom of your deck.",[],,2.0,2.0,1.0,Promo,['Hadjie Joos'],10,en,"""When I want your opinion, I will give it to you!""",502013,{'core': 'legal'},"{'id': 'set_c254adfcbf6d4e3482a675ecece86dcc', 'code': 'P1', 'name': 'Promo Set 1'}",{}
