id,name,version,layout,released_at,image_uris,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_ac175f73ee3c4cce86c8ffe6d32db73a,Bashful,Hopeless Romantic,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ac175f73ee3c4cce86c8ffe6d32db73a.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ac175f73ee3c4cce86c8ffe6d32db73a.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ac175f73ee3c4cce86c8ffe6d32db73a.avif?1709690747'}}",4,True,Amber,['Character'],"['Storyborn', 'Ally', 'Seven Dwarfs']","OH, GOSH! This character can't quest unless you have another Seven Dwarfs character in play.",[],,2.0,5.0,3.0,Uncommon,['Kendall Hale'],1,en,Life is sweeter with friends.,526599,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.07', 'usd_foil': '0.35'}"
crd_4730c91483f24305b42abe86b2bb34ee,Christopher Robin,Adventurer,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4730c91483f24305b42abe86b2bb34ee.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4730c91483f24305b42abe86b2bb34ee.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4730c91483f24305b42abe86b2bb34ee.avif?1709690747'}}",6,True,Amber,['Character'],"['Dreamborn', 'Hero']","WE'LL ALWAYS BE TOGETHER Whenever you ready this character, if you have 2 or more other characters in play, gain 2 lore.",[],,2.0,6.0,2.0,Rare,['Eri Welli'],2,en,"""Look, Pooh! Have you ever seen anything so grand?""
—Christopher Robin",526351,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.13', 'usd_foil': '0.67'}"
crd_853c5c99d28f4304ba79004c91379057,Cinderella,Ballroom Sensation,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_853c5c99d28f4304ba79004c91379057.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_853c5c99d28f4304ba79004c91379057.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_853c5c99d28f4304ba79004c91379057.avif?1709690747'}}",1,True,Amber,['Character'],"['Storyborn', 'Hero', 'Princess']",Singer 3 (This character counts as cost 3 to sing songs.),['Singer'],,1.0,2.0,1.0,Rare,['Casey Robin'],3,en,"With a magical dress and a song in her heart, she dazzled everyone at the ball.",527179,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '2.39', 'usd_foil': '9.05'}"
crd_ab2c56210cf647609962b1be64726001,Cobra Bubbles,Just a Social Worker,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ab2c56210cf647609962b1be64726001.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ab2c56210cf647609962b1be64726001.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ab2c56210cf647609962b1be64726001.avif?1709690747'}}",7,True,Amber,['Character'],"['Storyborn', 'Ally']",,[],,5.0,9.0,2.0,Rare,['Jake Parker'],4,en,"""Let me get this straight. Your 'magic' spellbook got washed away in a flood of 'magic' ink?""",525118,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.11', 'usd_foil': '0.48'}"
crd_2fec41cf370c44e4a11f2024d8375c4c,Doc,Leader of the Seven Dwarfs,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_2fec41cf370c44e4a11f2024d8375c4c.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_2fec41cf370c44e4a11f2024d8375c4c.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_2fec41cf370c44e4a11f2024d8375c4c.avif?1709690747'}}",3,True,Amber,['Character'],"['Storyborn', 'Ally', 'Seven Dwarfs']","SHARE AND SHARE ALIKE Whenever this character quests, you pay 1 {I} less for the next character you play this turn.",[],,2.0,3.0,2.0,Uncommon,['Kendall Hale'],5,en,He's in charge of this outfit.,526602,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.12', 'usd_foil': '1.36'}"
crd_45bf84f2a90e48be812c82d9c9272438,Dopey,Always Playful,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_45bf84f2a90e48be812c82d9c9272438.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_45bf84f2a90e48be812c82d9c9272438.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_45bf84f2a90e48be812c82d9c9272438.avif?1709690747'}}",3,True,Amber,['Character'],"['Storyborn', 'Ally', 'Seven Dwarfs']","ODD ONE OUT When this character is banished, your other Seven Dwarfs characters get +2 {S} until the start of your next turn.",[],,2.0,2.0,1.0,Uncommon,['Kendall Hale'],6,en,He's a real gem.,526384,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.07', 'usd_foil': '0.27'}"
crd_1c8429d7ddbe4e4895be3442a801c039,Eudora,Accomplished Seamstress,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_1c8429d7ddbe4e4895be3442a801c039.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_1c8429d7ddbe4e4895be3442a801c039.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_1c8429d7ddbe4e4895be3442a801c039.avif?1709690747'}}",5,True,Amber,['Character'],"['Storyborn', 'Ally']",,[],,1.0,9.0,2.0,Common,['Lissette Carrera'],7,en,Love holds everything together.,527710,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.04', 'usd_foil': '0.19'}"
crd_88ec6886b1a0481c9ab402049d1649e8,Gaston,Baritone Bully,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_88ec6886b1a0481c9ab402049d1649e8.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_88ec6886b1a0481c9ab402049d1649e8.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_88ec6886b1a0481c9ab402049d1649e8.avif?1709690747'}}",3,True,Amber,['Character'],"['Dreamborn', 'Villain']",Singer 5 (This character counts as cost 5 to sing songs.),['Singer'],,3.0,3.0,1.0,Uncommon,['Jochem van Gool'],8,en,No one... sings like Gaston!,527713,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.08', 'usd_foil': '0.57'}"
crd_0b2c5d800fc14fdfacf098d74ec7ab74,Grand Duke,Advisor to the King,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_0b2c5d800fc14fdfacf098d74ec7ab74.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_0b2c5d800fc14fdfacf098d74ec7ab74.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_0b2c5d800fc14fdfacf098d74ec7ab74.avif?1709690747'}}",2,True,Amber,['Character'],"['Storyborn', 'Ally']","YES, YOUR MAJESTY Your Prince, Princess, King, and Queen characters get +1 {S}.",[],,2.0,2.0,1.0,Rare,['Javi Salas'],9,en,He takes being opinionated to a higher level.,522735,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.15', 'usd_foil': '0.59'}"
crd_9d62c487faa543c78f964ac8ff1a73f6,Grumpy,Bad-Tempered,normal,2023-11-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_9d62c487faa543c78f964ac8ff1a73f6.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_9d62c487faa543c78f964ac8ff1a73f6.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_9d62c487faa543c78f964ac8ff1a73f6.avif?1709690747'}}",4,True,Amber,['Character'],"['Storyborn', 'Ally', 'Seven Dwarfs']",THERE'S TROUBLE A-BREWIN' Your other Seven Dwarfs characters get +1 {S}.,[],,3.0,4.0,1.0,Common,['Kendall Hale'],10,en,Sour as a green gooseberry!,526388,{'core': 'legal'},"{'id': 'set_142d2dfb5d4b4b739a1017dc4bb0fcd2', 'code': '2', 'name': 'Rise of the Floodborn'}","{'usd': '0.06', 'usd_foil': '0.21'}"
