id,name,version,layout,released_at,image_uris,cost,inkwell,ink,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_80c9df6d04f94ccab3df1e24619e21a3,Agustin Madrigal,Clumsy Dad,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_80c9df6d04f94ccab3df1e24619e21a3.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_80c9df6d04f94ccab3df1e24619e21a3.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_80c9df6d04f94ccab3df1e24619e21a3.avif?1716052430'}}",1,True,Amber,['Character'],"['Storyborn', 'Mentor', 'Madrigal']",,[],,2.0,2.0,1.0,Common,['Eri Welli'],1,en,Falling for Julieta was the easiest thing he'd ever done.,549618,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.03', 'usd_foil': '0.13'}"
crd_a853bb92fbe7486ea510a97f6a8494e2,Alma Madrigal,Family Matriarch,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a853bb92fbe7486ea510a97f6a8494e2.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a853bb92fbe7486ea510a97f6a8494e2.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a853bb92fbe7486ea510a97f6a8494e2.avif?1716052430'}}",3,False,Amber,['Character'],"['Storyborn', 'Mentor', 'Madrigal']","TO THE TABLE When you play this character, you may search your deck for a Madrigal character card and reveal that card to all players. Shuffle your deck and put that card on top of it.",[],,1.0,3.0,2.0,Rare,['Maxine Vee'],2,en,"""Let's be clear, Abuela runs this show.""
—Mirabel",550553,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.26', 'usd_foil': '0.63'}"
crd_edb9044de69d43319f8a3eabb7111333,Ariel,Singing Mermaid,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_edb9044de69d43319f8a3eabb7111333.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_edb9044de69d43319f8a3eabb7111333.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_edb9044de69d43319f8a3eabb7111333.avif?1716052430'}}",4,True,Amber,['Character'],"['Storyborn', 'Hero', 'Princess']",Singer 7 (This character counts as cost 7 to sing songs.),['Singer'],,3.0,3.0,2.0,Rare,['Matthew Robert Davies'],3,en,"""Watch and you'll see—some day I'll be part of your world!""",547773,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.2', 'usd_foil': '0.89'}"
crd_4dcd2225913d4c7b8ff2527a2b1b3fb7,Cinderella,Melody Weaver,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4dcd2225913d4c7b8ff2527a2b1b3fb7.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4dcd2225913d4c7b8ff2527a2b1b3fb7.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4dcd2225913d4c7b8ff2527a2b1b3fb7.avif?1716052430'}}",5,True,Amber,['Character'],"['Dreamborn', 'Hero', 'Princess']","Singer 9 (This character counts as cost 9 to sing songs.)
BEAUTIFUL VOICE Whenever this character sings a song, your other Princess characters get +1 {L} this turn.",['Singer'],,1.0,5.0,2.0,Legendary,['Miss Tania Soler'],4,en,,549624,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '1.16', 'usd_foil': '2.59'}"
crd_a0934af0f0b04689914f8e20d868c1af,Cogsworth,Majordomo,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_a0934af0f0b04689914f8e20d868c1af.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_a0934af0f0b04689914f8e20d868c1af.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_a0934af0f0b04689914f8e20d868c1af.avif?1716052430'}}",4,True,Amber,['Character'],"['Dreamborn', 'Ally']","AS YOU WERE! Whenever this character quests, you may give chosen character -2 {S} until the start of your next turn.",[],,3.0,3.0,1.0,Common,['Heidi Neunhoffer'],5,en,"""If it's a fight they want, we'll be ready for them.""",550554,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.04', 'usd_foil': '0.11'}"
crd_2ea290775cb046cebfd884af9fd14fb6,Daisy Duck,Lovely Lady,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_2ea290775cb046cebfd884af9fd14fb6.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_2ea290775cb046cebfd884af9fd14fb6.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_2ea290775cb046cebfd884af9fd14fb6.avif?1716052430'}}",1,True,Amber,['Character'],"['Dreamborn', 'Ally']",,[],,1.0,3.0,1.0,Uncommon,['Stefano Zanchi'],6,en,"Sweet Daisy, the fairest duck I ever met
Each flaxen lock a rush of flowing gold
Her bill the color of summer sunset
Exquisite plumes, a wonder to behold",543910,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.05', 'usd_foil': '0.33'}"
crd_c0153fff146d4250aff6c03e0e1744aa,Daisy Duck,Musketeer Spy,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_c0153fff146d4250aff6c03e0e1744aa.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_c0153fff146d4250aff6c03e0e1744aa.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_c0153fff146d4250aff6c03e0e1744aa.avif?1716052430'}}",4,True,Amber,['Character'],"['Dreamborn', 'Hero', 'Musketeer']","INFILTRATION When you play this character, each opponent chooses and discards a card.",[],,2.0,3.0,1.0,Common,['Kendall Hale'],7,en,She has a talent for thwarting hidden schemes.,550555,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.07', 'usd_foil': '0.18'}"
crd_dd1edbb4a44c4017a3aabb30184c0888,Donald Duck,Musketeer Soldier,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_dd1edbb4a44c4017a3aabb30184c0888.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_dd1edbb4a44c4017a3aabb30184c0888.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_dd1edbb4a44c4017a3aabb30184c0888.avif?1716052430'}}",3,True,Amber,['Character'],"['Dreamborn', 'Hero', 'Musketeer']","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
WAIT FOR ME! When you play this character, chosen character gets +1 {L} this turn.",['Bodyguard'],,2.0,3.0,1.0,Uncommon,['Jochem van Gool'],8,en,,550556,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.26', 'usd_foil': '3.15'}"
crd_294d9cff39f64e0394a0af134957afc3,Félix Madrigal,Fun-Loving Family Man,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_294d9cff39f64e0394a0af134957afc3.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_294d9cff39f64e0394a0af134957afc3.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_294d9cff39f64e0394a0af134957afc3.avif?1716052430'}}",3,True,Amber,['Character'],"['Storyborn', 'Ally', 'Madrigal']",,[],,2.0,4.0,2.0,Uncommon,['Hedvig Häggman-Sund'],9,en,Who needs a gift when you're having this much fun?,543896,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.05', 'usd_foil': '0.27'}"
crd_17b54146ce0942e29c41fd91356c1940,Gaston,Despicable Dealer,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_17b54146ce0942e29c41fd91356c1940.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_17b54146ce0942e29c41fd91356c1940.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_17b54146ce0942e29c41fd91356c1940.avif?1716052430'}}",3,False,Amber,['Character'],"['Storyborn', 'Villain']",DUBIOUS RECRUITMENT {E} — You pay 2 {I} less for the next character you play this turn.,[],,2.0,4.0,1.0,Super_rare,['Brian Kesinger'],10,en,"""Yes, yes, everything will be ready. Just make sure you do your part.""",550557,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.38', 'usd_foil': '1.49'}"
crd_4047afdc24734dc081571f81815febd8,Golden Harp,Enchanter of the Land,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4047afdc24734dc081571f81815febd8.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4047afdc24734dc081571f81815febd8.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4047afdc24734dc081571f81815febd8.avif?1716052430'}}",1,True,Amber,['Character'],"['Storyborn', 'Ally']","STOLEN AWAY At the end of your turn, if you didn't play a song this turn, banish this character.",[],,1.0,4.0,2.0,Rare,['Andrea Parisi'],11,en,You'll miss her when she's gone.,549623,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.16', 'usd_foil': '0.99'}"
crd_497f584c0a1d45e3aea9795cff7150df,Goofy,Musketeer Swordsman,normal,2024-05-17,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_497f584c0a1d45e3aea9795cff7150df.avif?1716052430', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_497f584c0a1d45e3aea9795cff7150df.avif?1716052430', 'large': 'https://cards.lorcast.io/card/digital/large/crd_497f584c0a1d45e3aea9795cff7150df.avif?1716052430'}}",4,False,Amber,['Character'],"['Dreamborn', 'Hero', 'Musketeer']","EN GAWRSH! Whenever you play a character with Bodyguard, ready this character. He can't quest for the rest of this turn.",[],,3.0,4.0,2.0,Rare,['Carlos Luzzi'],12,en,"""Count me in!""",548549,{'core': 'legal'},"{'id': 'set_8f4cbf5aef324eb295c4add5673e684f', 'code': '4', 'name': ""Ursula's Return""}","{'usd': '0.12', 'usd_foil': '0.41'}"
